# GESTURE_START label=4 caster=lucky rep=9 nsamples=74 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,7246,-752,-14632,-1126,7,-36,95,-141,54,2,10049,0
1,7249,-757,-14629,-1138,3,-34,108,-158,49,-8,9961,0
2,7251,-762,-14627,-1150,2,-33,115,-144,38,-16,10055,0
3,7253,-765,-14625,-1160,2,-42,120,-118,23,-17,10012,0
4,7252,-766,-14625,-1167,12,-56,131,-77,9,-23,10001,0
5,7252,-765,-14625,-1173,12,-55,141,-77,9,-23,10100,0
6,7249,-764,-14626,-1178,15,-55,148,-57,-7,-33,10029,0
7,7246,-760,-14627,-1180,22,-45,172,-46,-24,-45,9967,0
8,7241,-754,-14630,-1178,19,-36,184,-8,-41,-53,10000,0
9,7235,-746,-14634,-1175,20,-29,199,45,-57,-64,10199,0
10,7226,-738,-14639,-1172,18,-17,209,69,-81,-70,10000,0
11,7216,-730,-14645,-1169,17,7,216,80,-105,-74,10011,0
12,7204,-723,-14651,-1164,20,5,219,67,-131,-75,10000,0
13,7191,-711,-14659,-1149,17,3,233,83,-155,-66,9953,0
14,7179,-694,-14668,-1121,-15,-8,301,212,-169,-58,10083,0
15,7167,-667,-14679,-1073,-9,-48,348,379,-171,-55,10011,0
16,7156,-623,-14692,-990,-9,-84,391,638,-179,-49,10017,0
17,7145,-561,-14707,-875,-18,-91,434,1084,-184,-49,10011,0
18,7130,-496,-14723,-761,-47,-7,574,1514,-198,-76,10079,0
19,7106,-442,-14741,-677,-72,87,685,1510,-247,-118,9996,0
20,7072,-414,-14759,-650,-148,219,714,1147,-332,-154,9995,0
21,7024,-420,-14780,-686,-189,351,858,417,-446,-177,10030,0
22,6964,-453,-14804,-759,-196,319,881,-409,-586,-144,10118,0
23,6894,-489,-14833,-813,-200,258,909,-925,-746,-54,9998,0
24,6817,-511,-14867,-810,-216,197,916,-752,-874,68,10006,0
25,6733,-520,-14908,-762,-238,140,944,-80,-981,183,10093,0
26,6635,-533,-14954,-707,-287,139,973,459,-1108,267,10008,0
27,6522,-559,-15005,-668,-315,124,968,493,-1269,329,9980,0
28,6391,-597,-15060,-641,-349,84,947,281,-1463,385,10008,0
29,6247,-636,-15120,-612,-408,-30,840,82,-1663,433,10121,0
30,6093,-671,-15183,-573,-398,-103,768,92,-1832,459,9999,0
31,5928,-703,-15248,-532,-362,-192,690,230,-1959,455,10021,0
32,5756,-730,-15314,-500,-329,-318,551,241,-2077,413,9999,0
33,5580,-749,-15379,-472,-338,-302,543,176,-2150,334,10095,0
34,5401,-756,-15443,-446,-350,-181,561,160,-2194,220,10020,0
35,5216,-760,-15507,-440,-412,7,604,180,-2207,84,9983,0
36,5022,-770,-15569,-467,-540,447,647,-32,-2255,-34,10000,0
37,4816,-792,-15631,-519,-579,593,618,-415,-2348,-78,10025,0
38,4596,-834,-15693,-590,-575,635,556,-738,-2459,-37,10089,0
39,4363,-894,-15753,-665,-562,501,354,-1028,-2613,104,10019,0
40,4121,-963,-15812,-714,-544,368,267,-1141,-2760,286,9983,0
41,3875,-1032,-15870,-714,-538,243,191,-880,-2865,462,10143,0
42,3627,-1097,-15926,-657,-516,138,114,-333,-2947,608,9971,0
43,3377,-1156,-15981,-547,-527,7,-110,306,-3016,718,10026,0
44,3123,-1217,-16032,-426,-489,-62,-280,914,-3058,789,10003,0
45,2865,-1284,-16077,-334,-435,-129,-481,1036,-3107,833,10086,0
46,2606,-1353,-16116,-288,-383,-231,-844,683,-3119,839,10031,0
47,2353,-1421,-16149,-280,-342,-231,-956,159,-3076,787,10033,0
48,2114,-1481,-16177,-280,-320,-213,-1036,-277,-2961,704,9967,0
49,1894,-1530,-16200,-268,-312,-149,-1090,-328,-2772,603,10049,0
50,1688,-1574,-16219,-245,-327,11,-1290,-158,-2578,518,10068,0
51,1497,-1619,-16233,-233,-278,18,-1423,-13,-2403,470,9980,0
52,1322,-1667,-16243,-240,-221,-37,-1559,-133,-2226,475,10001,0
53,1171,-1718,-16250,-250,-146,-138,-1648,-323,-2021,510,10024,0
54,1171,-1718,-16250,-250,-30,-357,-1652,-340,-1729,541,10110,0
55,1047,-1768,-16252,-270,21,-416,-1589,-425,-1408,531,10030,0
56,950,-1813,-16253,-302,51,-438,-1507,-511,-1080,470,9952,0
57,879,-1848,-16252,-334,76,-402,-1355,-486,-778,362,10117,0
58,830,-1871,-16251,-372,95,-345,-1271,-510,-517,233,10027,0
59,799,-1884,-16250,-417,96,-265,-1177,-571,-302,115,10001,0
60,785,-1886,-16249,-464,99,-159,-1064,-557,-98,4,9989,0
61,787,-1882,-16249,-510,108,62,-827,-517,87,-74,10007,0
62,802,-1874,-16247,-558,123,147,-728,-531,241,-113,10138,0
63,827,-1866,-16245,-610,128,183,-643,-556,353,-102,9978,0
64,857,-1864,-16241,-676,142,109,-529,-714,441,-52,9985,0
65,890,-1869,-16235,-762,173,10,-498,-947,492,35,10050,0
66,928,-1882,-16227,-849,164,-37,-465,-964,540,125,10073,0
67,973,-1899,-16219,-910,140,-105,-363,-655,600,187,9989,0
68,1029,-1914,-16212,-946,150,-137,-303,-353,679,197,10011,0
69,1089,-1928,-16205,-972,93,-131,-296,-226,712,184,10107,0
70,1150,-1937,-16198,-999,143,-136,-262,-238,739,140,10010,0
71,1215,-1942,-16191,-1021,109,-110,-246,-177,770,91,9964,0
72,1285,-1942,-16185,-1028,50,-18,-206,17,817,53,10036,0
73,1360,-1936,-16180,-1020,29,3,-168,192,854,9,10105,0
# GESTURE_END
