# GESTURE_START label=4 caster=lucky rep=7 nsamples=70 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,7466,-430,-14519,-1307,5,-19,90,-89,17,-61,9989,0
1,7465,-429,-14518,-1319,-1,6,95,-115,8,-63,10070,0
2,7465,-428,-14518,-1327,-9,35,96,-77,-9,-55,9989,0
3,7463,-425,-14519,-1328,2,35,96,6,-23,-40,9996,0
4,7460,-421,-14521,-1324,14,36,94,70,-37,-22,10004,0
5,7456,-417,-14523,-1318,15,43,93,70,-37,-22,10093,0
6,7452,-417,-14526,-1316,11,54,95,76,-44,-13,10000,0
7,7447,-418,-14528,-1314,14,48,103,25,-58,6,10000,0
8,7443,-419,-14531,-1307,25,50,123,14,-65,21,10001,0
9,7438,-419,-14535,-1298,22,35,182,66,-64,39,10198,0
10,7433,-418,-14539,-1283,19,30,207,100,-69,50,9999,0
11,7426,-413,-14544,-1259,15,29,225,159,-79,57,10010,0
12,7416,-404,-14552,-1227,15,28,244,278,-100,63,10038,0
13,7404,-388,-14563,-1178,-7,25,274,380,-142,67,9905,0
14,7389,-364,-14576,-1113,3,24,285,586,-180,71,10094,0
15,7371,-336,-14592,-1039,14,60,312,807,-219,79,10033,0
16,7347,-315,-14608,-975,-20,121,349,912,-267,84,9965,0
17,7317,-310,-14626,-938,-69,202,394,770,-329,91,10009,0
18,7280,-319,-14646,-914,-52,192,386,417,-409,121,10101,0
19,7238,-334,-14668,-893,-42,167,374,202,-497,178,10030,0
20,7193,-354,-14690,-871,-34,72,362,140,-554,238,9998,0
21,7147,-373,-14714,-839,-32,38,380,133,-594,286,10004,0
22,7099,-389,-14740,-798,-32,3,386,243,-624,326,10115,0
23,7047,-411,-14765,-770,-56,-25,401,347,-645,336,10000,0
24,6992,-435,-14792,-749,-90,-108,483,174,-685,330,10007,0
25,6936,-449,-14820,-713,-88,-115,520,98,-724,317,9993,0
26,6877,-456,-14849,-672,-124,-63,552,310,-745,285,10097,0
27,6811,-476,-14879,-668,-177,91,620,384,-771,236,9999,0
28,6735,-515,-14910,-707,-192,147,625,-65,-849,186,10001,0
29,6650,-568,-14943,-770,-200,161,631,-604,-957,178,9996,0
30,6557,-626,-14979,-832,-207,136,625,-926,-1056,203,10112,0
31,6460,-678,-15017,-868,-220,23,573,-940,-1148,253,10016,0
32,6358,-720,-15058,-876,-215,-60,548,-648,-1219,301,10019,0
33,6251,-750,-15102,-859,-219,-150,507,-298,-1289,325,10003,0
34,6141,-770,-15148,-822,-183,-253,486,22,-1358,318,10089,0
35,6028,-777,-15195,-776,-194,-314,495,269,-1412,277,10031,0
36,5910,-778,-15243,-746,-197,-269,525,430,-1441,183,9975,0
37,5782,-782,-15291,-751,-201,-189,544,283,-1488,54,9996,0
38,5643,-795,-15340,-805,-251,65,529,-124,-1569,-74,10138,0
39,5492,-819,-15388,-902,-271,184,489,-682,-1674,-180,9980,0
40,5330,-852,-15436,-1022,-288,249,429,-1206,-1791,-240,10016,0
41,5162,-886,-15484,-1123,-291,281,367,-1492,-1895,-234,9983,0
42,4996,-912,-15532,-1181,-293,271,200,-1296,-1967,-167,10142,0
43,4829,-937,-15581,-1206,-271,214,170,-786,-1984,-79,9971,0
44,4665,-960,-15630,-1199,-242,162,129,-427,-1999,14,10029,0
45,4503,-983,-15678,-1180,-252,174,67,-71,-1992,97,10001,0
46,4337,-1013,-15723,-1174,-258,211,50,68,-1985,147,10101,0
47,4167,-1052,-15766,-1187,-260,220,20,-115,-2008,179,10015,0
48,3996,-1097,-15805,-1207,-247,200,-33,-345,-2034,222,10002,0
49,3823,-1149,-15842,-1240,-231,85,-164,-449,-2047,269,9998,0
50,3648,-1207,-15875,-1293,-214,-3,-209,-612,-2051,309,10117,0
51,3472,-1264,-15905,-1344,-186,-87,-264,-866,-2054,329,9980,0
52,3300,-1312,-15935,-1376,-165,-171,-364,-842,-2048,315,10029,0
53,3131,-1350,-15965,-1391,-160,-162,-385,-603,-2024,271,9987,0
54,3131,-1350,-15965,-1391,-150,-121,-415,-382,-1989,205,10050,0
55,2967,-1378,-15994,-1384,-138,-48,-455,-105,-1949,139,10100,0
56,2808,-1397,-16024,-1351,-167,34,-530,205,-1911,100,9971,0
57,2653,-1415,-16052,-1317,-127,13,-576,222,-1862,92,10011,0
58,2499,-1436,-16076,-1301,-95,-9,-628,10,-1816,108,10041,0
59,2352,-1461,-16096,-1295,-87,-12,-655,-104,-1737,130,10044,0
60,2212,-1486,-16114,-1299,-71,5,-648,-217,-1631,130,9987,0
61,2080,-1511,-16127,-1316,-48,8,-630,-362,-1534,126,10029,0
62,1956,-1536,-16139,-1332,-28,-4,-619,-334,-1435,131,10095,0
63,1841,-1559,-16150,-1334,21,-57,-703,-171,-1348,140,9982,0
64,1733,-1582,-16161,-1325,8,-43,-634,-39,-1271,157,10029,0
65,1632,-1604,-16170,-1311,34,-63,-678,31,-1200,167,10011,0
66,1540,-1624,-16179,-1292,49,-62,-679,95,-1094,155,10000,0
67,1457,-1644,-16185,-1282,63,-87,-636,8,-989,149,10105,0
68,1383,-1661,-16191,-1276,76,-91,-584,-26,-867,133,9992,0
69,1319,-1676,-16195,-1274,71,-89,-534,-58,-753,110,10008,0
# GESTURE_END
