# GESTURE_START label=4 caster=lucky rep=3 nsamples=59 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,7726,-203,-14396,-1203,-14,-92,7,-82,-61,-25,10002,0
1,7721,-203,-14398,-1214,-14,-73,13,-106,-64,-53,9998,0
2,7715,-202,-14400,-1224,-17,-49,17,-104,-61,-74,10002,0
3,7710,-200,-14402,-1234,-25,-12,37,-77,-57,-81,9998,0
4,7706,-195,-14404,-1239,-28,-9,58,-28,-55,-78,10000,0
5,7701,-189,-14407,-1240,-30,-8,80,30,-58,-72,10000,0
6,7695,-182,-14410,-1238,-29,-5,128,59,-66,-67,9997,0
7,7689,-174,-14414,-1234,-29,4,161,81,-82,-70,10013,0
8,7680,-164,-14419,-1227,-27,12,185,129,-109,-70,9990,0
9,7669,-151,-14427,-1214,-21,11,211,207,-144,-67,10000,0
10,7655,-134,-14436,-1191,-21,-2,242,331,-177,-63,10001,0
11,7639,-112,-14447,-1158,-8,-4,255,467,-208,-62,9996,0
12,7621,-84,-14461,-1115,-13,5,274,596,-239,-66,10003,0
13,7600,-51,-14476,-1062,-15,20,305,726,-265,-68,10000,0
14,7578,-14,-14492,-1000,-11,124,351,848,-292,-65,10000,0
15,7552,19,-14509,-943,-31,202,372,770,-337,-46,10002,0
16,7521,36,-14528,-905,-59,268,398,490,-397,3,9998,0
17,7486,35,-14546,-889,-86,282,473,174,-456,79,10000,0
18,7448,27,-14567,-868,-95,238,508,185,-503,172,9999,0
19,7407,20,-14590,-830,-83,198,543,368,-548,250,10000,0
20,7360,4,-14616,-798,-109,190,600,260,-626,300,10007,0
21,7303,-26,-14645,-786,-127,166,704,-16,-755,332,9994,0
22,7235,-65,-14679,-788,-182,172,752,-200,-906,362,9997,0
23,7153,-110,-14718,-789,-209,144,775,-226,-1069,404,10013,0
24,7061,-148,-14764,-769,-228,-6,743,40,-1214,442,9990,0
25,6959,-167,-14815,-703,-190,-90,709,603,-1326,466,10002,0
26,6852,-166,-14870,-597,-192,-128,694,1127,-1406,451,10004,0
27,6736,-163,-14926,-499,-199,-128,713,1051,-1494,393,9994,0
28,6608,-177,-14985,-450,-277,58,731,460,-1640,323,10002,0
29,6463,-213,-15047,-461,-334,178,720,-287,-1831,279,9998,0
30,6303,-264,-15112,-501,-371,259,682,-653,-2003,300,10000,0
31,6133,-316,-15181,-523,-413,264,486,-480,-2138,376,9999,0
32,5955,-368,-15250,-524,-404,185,383,-245,-2229,474,10001,0
33,5771,-421,-15320,-508,-384,78,274,-74,-2295,554,10000,0
34,5585,-474,-15388,-481,-346,-21,195,48,-2316,589,9997,0
35,5400,-522,-15453,-448,-336,-71,100,124,-2288,567,10003,0
36,5217,-567,-15515,-421,-350,-25,108,82,-2261,514,10009,0
37,5034,-611,-15574,-400,-355,16,119,10,-2237,476,10013,0
38,4851,-653,-15631,-380,-360,58,126,8,-2230,463,10049,0
39,4667,-697,-15686,-361,-387,14,113,-9,-2245,472,10050,0
40,4479,-741,-15739,-340,-366,-41,70,-1,-2273,487,10062,0
41,4288,-784,-15790,-316,-336,-65,4,45,-2305,475,10042,0
42,4096,-823,-15840,-289,-338,4,-186,86,-2318,444,9963,0
43,3904,-862,-15887,-270,-324,19,-243,-8,-2299,423,10056,0
44,3717,-901,-15929,-250,-308,5,-294,11,-2228,430,10047,0
45,3540,-938,-15968,-221,-296,-39,-331,128,-2120,435,9990,0
46,3368,-976,-16003,-206,-290,-132,-349,128,-2120,435,10027,0
47,3200,-1017,-16035,-222,-271,-172,-347,-43,-2035,419,10100,0
48,3033,-1059,-16064,-268,-258,-191,-378,-389,-1968,381,9967,0
49,2866,-1099,-16090,-342,-254,-94,-506,-722,-1926,322,10026,0
50,2697,-1136,-16115,-438,-252,-28,-589,-1045,-1911,241,10160,0
51,2534,-1169,-16136,-528,-242,0,-665,-1287,-1895,165,10000,0
52,2382,-1198,-16155,-588,-193,-4,-726,-1216,-1832,137,10017,0
53,2244,-1220,-16173,-594,-166,-45,-860,-855,-1732,149,9994,0
54,2124,-1238,-16189,-562,-124,-69,-860,-208,-1601,172,9965,0
55,2016,-1255,-16203,-525,-77,-99,-887,241,-1433,188,10074,0
56,1916,-1274,-16213,-518,-90,-66,-866,307,-1297,200,10024,0
57,1824,-1295,-16221,-542,-53,-96,-866,-34,-1166,179,9965,0
58,1742,-1316,-16228,-577,-30,-131,-859,-387,-1051,166,9999,0
# GESTURE_END
