# GESTURE_START label=1 caster=lucky rep=8 nsamples=113 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,3550,12732,-8863,-3897,-379,-819,-605,-762,-1977,-995,10001,0
1,3480,12729,-8814,-4076,-366,-804,-655,-632,-1929,-1062,9999,0
2,3404,12731,-8761,-4246,-351,-794,-709,-532,-1871,-1118,10000,0
3,3327,12735,-8703,-4411,-349,-781,-782,-484,-1803,-1174,10000,0
4,3252,12742,-8638,-4571,-338,-782,-816,-496,-1727,-1233,10000,0
5,3181,12751,-8566,-4727,-328,-785,-853,-523,-1642,-1288,10006,0
6,3110,12764,-8489,-4877,-330,-767,-892,-495,-1569,-1345,10004,0
7,3035,12780,-8409,-5020,-364,-723,-977,-424,-1499,-1390,10053,0
8,2958,12798,-8326,-5155,-345,-732,-1037,-361,-1434,-1423,10047,0
9,2880,12820,-8238,-5284,-344,-740,-1089,-327,-1360,-1467,10049,0
10,2802,12845,-8146,-5405,-351,-785,-1237,-289,-1265,-1520,10056,0
11,2724,12877,-8048,-5516,-305,-798,-1297,-242,-1131,-1593,10045,0
12,2644,12917,-7942,-5613,-286,-786,-1352,-152,-985,-1683,9972,0
13,2563,12966,-7829,-5698,-283,-765,-1401,-101,-823,-1781,10038,0
14,2484,13023,-7706,-5769,-248,-691,-1460,-62,-635,-1881,10010,0
15,2410,13088,-7574,-5827,-229,-639,-1478,-56,-432,-1973,10001,0
16,2343,13162,-7432,-5871,-204,-578,-1494,-56,-432,-1973,10026,0
17,2283,13245,-7280,-5899,-167,-446,-1483,-74,-215,-2064,10073,0
18,2229,13335,-7121,-5910,-152,-362,-1456,-80,15,-2136,10013,0
19,2184,13432,-6956,-5904,-140,-282,-1423,-67,252,-2189,10001,0
20,2147,13534,-6787,-5883,-128,-199,-1382,-79,487,-2220,10000,0
21,2116,13640,-6615,-5844,-128,-32,-1294,-93,711,-2229,10196,0
22,2090,13749,-6444,-5790,-118,55,-1246,-69,920,-2216,10009,0
23,2070,13859,-6274,-5721,-114,147,-1204,-43,1108,-2183,10032,0
24,2053,13968,-6108,-5640,-108,230,-1162,-22,1270,-2131,9959,0
25,2036,14077,-5950,-5544,-73,380,-1081,13,1408,-2054,9934,0
26,2018,14184,-5801,-5435,-72,455,-1040,105,1532,-1956,10104,0
27,1998,14287,-5664,-5314,-73,522,-1002,210,1634,-1840,10000,0
28,1980,14387,-5538,-5182,-56,596,-946,315,1724,-1703,10000,0
29,1969,14483,-5422,-5041,-62,630,-921,372,1814,-1550,10000,0
30,1969,14573,-5316,-4891,-70,649,-899,375,1901,-1388,10123,0
31,1982,14658,-5220,-4732,-86,660,-868,322,1998,-1221,9992,0
32,2006,14739,-5134,-4564,-105,647,-814,251,2108,-1044,10031,0
33,2041,14814,-5059,-4385,-120,615,-776,197,2219,-865,9976,0
34,2083,14884,-4996,-4195,-125,577,-722,152,2331,-687,10119,0
35,2133,14950,-4942,-3995,-148,498,-604,142,2442,-512,9994,0
36,2193,15011,-4896,-3787,-171,463,-524,114,2551,-354,9997,0
37,2264,15066,-4857,-3571,-187,425,-445,56,2651,-211,9986,0
38,2346,15115,-4823,-3350,-210,392,-369,-26,2740,-84,10140,0
39,2435,15158,-4795,-3124,-229,339,-213,-120,2810,32,10001,0
40,2526,15194,-4775,-2895,-252,303,-137,-173,2851,144,10001,0
41,2616,15225,-4762,-2664,-261,261,-59,-179,2872,251,10004,0
42,2705,15250,-4757,-2432,-271,216,20,-165,2867,358,9992,0
43,2794,15269,-4758,-2200,-246,143,174,-133,2853,453,10116,0
44,2886,15282,-4763,-1972,-261,105,239,-140,2829,539,10003,0
45,2983,15287,-4774,-1750,-269,76,295,-200,2773,613,10000,0
46,3080,15286,-4790,-1534,-263,19,397,-263,2706,682,10019,0
47,3174,15280,-4811,-1323,-267,-12,438,-304,2625,746,10048,0
48,3261,15269,-4838,-1118,-277,-41,478,-297,2537,809,10054,0
49,3336,15256,-4871,-918,-283,-60,512,-236,2431,869,9999,0
50,3401,15239,-4910,-724,-257,-105,585,-131,2321,923,10022,0
51,3460,15219,-4954,-537,-266,-129,617,-45,2211,973,9988,0
52,3517,15196,-5003,-358,-268,-153,650,-17,2103,1018,10131,0
53,3573,15168,-5056,-187,-260,-215,711,-22,1992,1067,10001,0
54,3629,15136,-5114,-25,-260,-247,738,-49,1887,1111,9990,0
55,3683,15102,-5176,129,-261,-285,763,-90,1783,1148,9981,0
56,3737,15064,-5241,275,-270,-329,790,-119,1683,1182,10145,0
57,3787,15025,-5308,414,-273,-404,866,-137,1586,1205,9972,0
58,3835,14984,-5377,545,-283,-431,912,-137,1494,1214,10009,0
59,3885,14942,-5445,667,-290,-450,965,-151,1402,1212,9991,0
60,3937,14898,-5513,777,-316,-462,1080,-200,1307,1193,10024,0
61,3991,14852,-5583,875,-342,-463,1136,-277,1197,1168,10108,0
62,4043,14806,-5653,959,-362,-469,1187,-353,1069,1148,9996,0
63,4088,14760,-5727,1030,-372,-478,1235,-391,917,1129,10007,0
