# GESTURE_START label=1 caster=lucky rep=0 nsamples=98 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1475,-15713,3846,2138,-210,687,-703,22,1349,-1585,9998,0
1,1458,-15759,3733,2009,-225,719,-672,-57,1433,-1488,10007,0
2,1430,-15802,3628,1875,-254,734,-640,-147,1516,-1372,9998,0
3,1392,-15843,3534,1738,-279,741,-607,-241,1586,-1244,10045,0
4,1345,-15880,3451,1597,-284,730,-547,-306,1648,-1103,10051,0
5,1293,-15913,3379,1454,-282,719,-513,-345,1708,-966,10050,0
6,1237,-15943,3318,1306,-291,704,-476,-368,1771,-833,10059,0
7,1177,-15970,3268,1154,-303,690,-438,-387,1827,-703,10042,0
8,1113,-15993,3228,999,-315,661,-350,-420,1885,-574,9971,0
9,1043,-16013,3199,841,-336,652,-304,-469,1934,-452,10042,0
10,965,-16029,3179,680,-339,637,-261,-541,1980,-330,10016,0
11,877,-16042,3169,519,-315,597,-169,-640,2019,-210,10000,0
12,779,-16052,3169,357,-322,570,-115,-640,2019,-210,10096,0
13,668,-16058,3177,195,-334,547,-61,-761,2058,-86,10000,0
14,549,-16060,3195,34,-350,521,-12,-897,2087,22,10003,0
15,432,-16058,3220,-126,-358,492,80,-980,2100,131,10015,0
16,325,-16052,3253,-287,-363,467,123,-966,2093,234,10107,0
17,233,-16042,3294,-446,-374,449,158,-844,2068,330,10078,0
18,151,-16028,3340,-605,-362,415,215,-685,2034,425,10015,0
19,76,-16009,3400,-758,-367,400,243,-570,1995,509,10019,0
20,2,-15987,3466,-908,-385,389,271,-510,1923,669,10015,0
21,72,15962,-3539,1054,-395,380,298,-509,1883,752,9997,0
22,148,15934,-3620,1196,-386,348,368,-522,1847,839,10011,0
23,228,15902,-3707,1334,-395,333,394,-563,1809,927,10019,0
24,310,15866,-3801,1466,-424,301,423,-624,1768,1011,9973,0
25,389,15828,-3901,1594,-448,259,448,-672,1719,1093,10115,0
26,459,15787,-4004,1720,-461,155,500,-648,1665,1162,10009,0
27,520,15745,-4108,1843,-458,102,529,-567,1610,1214,10019,0
28,576,15700,-4213,1963,-453,51,557,-476,1561,1249,10000,0
29,630,15655,-4316,2079,-411,-36,632,-415,1515,1263,10002,0
30,689,15609,-4419,2190,-395,-67,680,-420,1472,1256,10117,0
31,758,15562,-4520,2294,-390,-86,733,-486,1427,1236,9997,0
32,836,15514,-4620,2387,-394,-93,795,-612,1378,1207,10001,0
33,924,15467,-4719,2469,-413,-99,895,-749,1300,1168,10001,0
34,1014,15420,-4816,2538,-428,-120,923,-893,1199,1137,10098,0
35,1087,15375,-4910,2598,-439,-146,950,-950,1070,1110,10000,0
36,1129,15335,-4998,2652,-445,-206,969,-788,913,1085,9999,0
37,1138,15299,-5079,2702,-433,-231,957,-463,742,1057,9988,0
38,1124,15267,-5152,2746,-416,-240,945,-99,571,1023,10134,0
39,1106,15239,-5221,2781,-402,-237,926,139,426,968,10000,0
40,1098,15212,-5288,2804,-387,-237,897,170,308,910,10012,0
41,1103,15187,-5353,2815,-388,-242,890,23,216,847,10012,0
42,1120,15162,-5418,2817,-390,-248,886,-167,142,796,10093,0
