# GESTURE_START label=1 caster=lucky rep=2 nsamples=127 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,3526,13567,-8010,-2789,-405,-747,-250,-1233,-1956,-1298,9998,0
1,3491,13577,-7931,-3000,-392,-730,-306,-980,-2001,-1405,10000,0
2,3431,13593,-7850,-3204,-369,-712,-385,-699,-2058,-1504,10000,0
3,3349,13614,-7766,-3402,-340,-692,-471,-456,-2103,-1584,10002,0
4,3251,13637,-7679,-3595,-335,-647,-643,-269,-2125,-1647,9998,0
5,3146,13662,-7589,-3783,-317,-623,-714,-173,-2110,-1699,10000,0
6,3042,13686,-7492,-3968,-319,-599,-782,-197,-2057,-1749,10000,0
7,2947,13710,-7387,-4152,-306,-573,-855,-300,-1987,-1808,10000,0
8,2868,13736,-7265,-4330,-312,-519,-967,-464,-1808,-1916,10000,0
9,2792,13764,-7137,-4501,-303,-493,-1030,-478,-1706,-1961,10000,0
10,2718,13793,-7004,-4663,-300,-480,-1092,-456,-1595,-1995,10000,0
11,2644,13824,-6866,-4816,-255,-523,-1219,-425,-1478,-2035,10000,0
12,2565,13860,-6725,-4953,-258,-481,-1273,-311,-1341,-2078,10000,0
13,2474,13902,-6581,-5073,-228,-455,-1361,-110,-1196,-2134,10000,0
14,2368,13951,-6438,-5173,-194,-392,-1427,152,-1043,-2181,10002,0
15,2250,14005,-6296,-5252,-180,-210,-1523,370,-881,-2216,10007,0
16,2131,14064,-6152,-5315,-164,-104,-1577,462,-704,-2221,9992,0
17,2020,14125,-6007,-5362,-143,-10,-1625,450,-497,-2187,10012,0
18,1922,14188,-5862,-5392,-98,116,-1709,383,-270,-2125,9999,0
19,1837,14254,-5718,-5403,-77,166,-1727,349,-16,-2052,10000,0
20,1762,14323,-5577,-5393,-51,201,-1733,344,247,-1978,10008,0
21,1692,14397,-5438,-5360,-29,239,-1726,400,507,-1914,9995,0
22,1623,14475,-5304,-5304,-1,341,-1693,505,760,-1854,10000,0
23,1554,14558,-5176,-5225,-4,424,-1649,612,1003,-1794,10000,0
24,1489,14644,-5051,-5125,-17,511,-1594,664,1240,-1723,10000,0
