# GESTURE_START label=1 caster=lucky rep=5 nsamples=98 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2075,13510,-6759,-5995,-432,-650,-1739,-149,-1017,-2444,10057,0
1,1977,13574,-6579,-6081,-415,-574,-1753,-146,-743,-2561,9950,0
2,1893,13649,-6385,-6148,-389,-392,-1751,-231,-451,-2658,10054,0
3,1823,13730,-6180,-6197,-365,-294,-1738,-332,-155,-2717,10043,0
4,1768,13819,-5965,-6227,-343,-202,-1720,-420,137,-2740,10001,0
5,1727,13913,-5745,-6235,-325,-122,-1683,-486,427,-2729,10000,0
6,1697,14011,-5523,-6224,-286,-8,-1561,-486,427,-2729,10100,0
7,1676,14114,-5301,-6191,-268,47,-1491,-515,700,-2698,10000,0
8,1658,14220,-5079,-6139,-238,97,-1422,-515,952,-2658,10000,0
9,1637,14328,-4862,-6068,-217,212,-1293,-469,1174,-2618,10000,0
10,1612,14438,-4649,-5980,-212,294,-1238,-355,1364,-2578,10029,0
11,1584,14549,-4442,-5876,-210,377,-1189,-226,1526,-2533,10177,0
12,1556,14658,-4242,-5758,-209,456,-1150,-123,1670,-2469,10019,0
13,1529,14766,-4048,-5627,-194,603,-1083,-48,1798,-2389,9972,0
14,1509,14872,-3862,-5484,-194,677,-1049,5,1928,-2290,10013,0
15,1498,14975,-3683,-5328,-192,744,-1015,1,2056,-2170,9918,0
16,1498,15073,-3514,-5161,-202,804,-977,-44,2188,-2031,10107,0
17,1509,15168,-3357,-4981,-209,890,-895,-102,2321,-1865,10003,0
18,1528,15259,-3214,-4788,-218,928,-834,-138,2450,-1676,10004,0
19,1560,15345,-3086,-4584,-223,948,-776,-158,2578,-1469,10013,0
20,1601,15425,-2974,-4370,-221,925,-653,-211,2694,-1246,10021,0
21,1649,15500,-2879,-4144,-226,895,-574,-256,2800,-1019,10091,0
22,1700,15570,-2802,-3909,-234,861,-491,-255,2893,-788,10010,0
23,1754,15634,-2741,-3666,-250,827,-412,-221,2970,-566,9996,0
24,1814,15691,-2694,-3417,-272,753,-264,-206,3029,-356,10018,0
25,1884,15742,-2661,-3164,-293,715,-188,-237,3070,-159,10147,0
26,1960,15785,-2641,-2908,-316,679,-115,-299,3099,26,9941,0
27,2041,15821,-2633,-2651,-303,610,31,-357,3105,202,10008,0
28,2126,15850,-2638,-2393,-313,569,106,-390,3099,370,10021,0
29,2213,15872,-2655,-2138,-325,528,173,-413,3081,529,10103,0
30,2302,15887,-2684,-1884,-337,483,235,-436,3035,681,10033,0
31,2390,15894,-2723,-1635,-342,409,348,-457,2980,821,9952,0
32,2475,15896,-2774,-1391,-343,356,399,-452,2904,953,10009,0
33,2559,15891,-2835,-1152,-344,304,446,-426,2823,1080,10116,0
34,2640,15880,-2905,-921,-357,254,495,-414,2730,1192,10000,0
35,2719,15864,-2982,-697,-321,163,557,-410,2623,1287,10001,0
36,2797,15842,-3066,-482,-320,117,583,-413,2513,1366,10019,0
37,2872,15816,-3156,-276,-324,73,613,-418,2398,1434,10000,0
38,2942,15786,-3251,-79,-310,11,678,-404,2283,1495,10101,0
39,3009,15752,-3351,109,-316,-18,710,-389,2158,1542,10000,0
40,3072,15715,-3456,286,-318,-44,735,-381,2031,1585,10020,0
41,3133,15675,-3566,452,-322,-83,756,-373,1901,1626,9980,0
42,3191,15632,-3679,607,-287,-201,798,-370,1760,1658,10111,0
43,3244,15587,-3794,751,-276,-244,821,-383,1623,1684,10019,0
44,3294,15541,-3910,883,-270,-279,842,-368,1484,1688,9987,0
45,3341,15494,-4025,1004,-263,-348,886,-357,1349,1671,10024,0
46,3387,15447,-4139,1112,-271,-382,907,-365,1212,1642,9980,0
47,3433,15399,-4252,1206,-279,-417,929,-392,1076,1604,10130,0
48,3476,15351,-4363,1286,-294,-440,946,-429,927,1560,9988,0
49,3511,15306,-4473,1352,-303,-473,976,-433,767,1508,10043,0
50,3537,15263,-4581,1406,-305,-477,982,-388,601,1460,9964,0
51,3550,15224,-4688,1447,-317,-466,991,-313,430,1408,10114,0
52,3552,15187,-4794,1477,-329,-469,1007,-216,260,1368,10032,0
53,3546,15153,-4902,1494,-338,-488,1014,-120,94,1338,9982,0
54,3536,15119,-5010,1498,-338,-516,1015,-79,-65,1318,10000,0
55,3525,15086,-5120,1488,-342,-545,1015,-80,-226,1297,10025,0
56,3512,15053,-5229,1464,-346,-606,1025,-115,-383,1271,10088,0
57,3495,15023,-5339,1427,-353,-625,1037,-146,-540,1239,10000,0
58,3471,14994,-5447,1378,-362,-645,1043,-137,-696,1200,9994,0
59,3441,14967,-5555,1314,-374,-654,1053,-109,-855,1162,10010,0
60,3441,14967,-5555,1314,-424,-640,1061,-98,-1021,1112,10114,0
61,3405,14942,-5661,1237,-447,-647,1066,-78,-1192,1063,10000,0
62,3360,14919,-5765,1146,-464,-659,1074,-45,-1369,1014,10003,0
63,3306,14899,-5868,1043,-509,-667,1086,19,-1538,968,9973,0
64,3239,14881,-5969,928,-508,-674,1089,118,-1708,914,10036,0
65,3162,14865,-6068,799,-511,-666,1089,161,-1886,855,10104,0
66,3084,14850,-6163,654,-502,-673,1068,117,-2059,787,10000,0
67,3014,14832,-6255,489,-524,-699,997,-73,-2224,711,10002,0
68,2960,14811,-6341,301,-536,-707,958,-338,-2381,619,10011,0
69,2915,14788,-6421,94,-567,-715,924,-521,-2535,516,10044,0
70,2871,14765,-6494,-131,-584,-689,896,-610,-2688,403,10049,0
71,2818,14743,-6558,-368,-681,-560,787,-574,-2852,287,10020,0
72,2749,14722,-6616,-618,-700,-487,710,-470,-3032,177,9991,0
73,2669,14700,-6667,-879,-703,-422,626,-401,-3205,94,10011,0
74,2580,14675,-6716,-1153,-698,-334,414,-381,-3365,48,10099,0
75,2486,14644,-6762,-1438,-678,-308,293,-400,-3499,35,10007,0
76,2396,14606,-6808,-1733,-686,-280,168,-491,-3604,40,10012,0
77,2310,14560,-6852,-2037,-701,-245,36,-600,-3682,53,9969,0
78,2226,14507,-6894,-2347,-761,-247,-268,-666,-3732,68,10145,0
79,2147,14445,-6934,-2661,-748,-281,-423,-744,-3761,88,10019,0
80,2066,14377,-6973,-2974,-718,-306,-574,-737,-3772,108,9969,0
81,1978,14304,-7011,-3280,-674,-338,-880,-641,-3749,113,10012,0
82,1885,14228,-7046,-3578,-631,-354,-1041,-564,-3698,93,10000,0
83,1793,14149,-7075,-3869,-602,-355,-1192,-549,-3614,59,10116,0
84,1702,14071,-7096,-4148,-561,-355,-1322,-522,-3482,6,9999,0
85,1609,13994,-7111,-4409,-455,-352,-1503,-434,-3299,-48,9993,0
86,1515,13921,-7122,-4649,-397,-344,-1551,-328,-3076,-90,10009,0
87,1422,13854,-7129,-4865,-348,-336,-1563,-219,-2823,-126,10126,0
88,1335,13791,-7132,-5059,-302,-335,-1521,-176,-2549,-157,9988,0
89,1258,13735,-7128,-5233,-309,-320,-1468,-194,-2275,-186,10003,0
90,1193,13686,-7119,-5388,-252,-327,-1471,-227,-2011,-216,9995,0
91,1137,13643,-7106,-5526,-226,-322,-1393,-240,-1762,-245,10027,0
92,1085,13606,-7090,-5646,-171,-278,-1300,-188,-1549,-270,10077,0
93,1030,13575,-7074,-5748,-138,-251,-1269,-67,-1364,-291,10003,0
94,974,13550,-7060,-5834,-110,-233,-1235,20,-1195,-302,9995,0
95,922,13529,-7046,-5907,-110,-233,-1235,67,-1034,-293,10096,0
96,875,13512,-7033,-5969,-100,-220,-1208,83,-886,-274,10028,0
97,836,13498,-7020,-6022,-101,-242,-1212,44,-747,-251,9916,0
# GESTURE_END
