# GESTURE_START label=1 caster=lucky rep=23 nsamples=102 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2250,8330,-6756,-12179,-173,-248,-2490,-383,-26,-2675,10020,0
1,2112,8439,-6606,-12211,-142,-165,-2435,-463,327,-2637,10053,0
2,1992,8565,-6447,-12229,-111,-94,-2349,-546,658,-2586,10052,0
3,1888,8706,-6284,-12231,-60,35,-2175,-593,955,-2533,10053,0
4,1793,8859,-6121,-12218,-29,123,-2088,-565,1196,-2484,10102,0
5,1702,9020,-5964,-12190,1,235,-2023,-453,1377,-2422,9921,0
6,1611,9188,-5823,-12146,34,361,-1972,-248,1509,-2342,10049,0
7,1519,9359,-5698,-12086,76,591,-1906,-32,1621,-2233,10024,0
8,1431,9532,-5589,-12012,110,693,-1873,134,1722,-2080,10002,0
9,1353,9704,-5495,-11926,134,780,-1848,134,1722,-2080,10021,0
10,1289,9875,-5416,-11829,164,852,-1816,242,1822,-1885,10077,0
11,1246,10044,-5347,-11722,181,916,-1758,302,1930,-1651,10000,0
12,1227,10212,-5286,-11606,196,918,-1714,290,2060,-1394,10004,0
13,1238,10379,-5229,-11482,202,890,-1662,210,2195,-1114,9996,0
14,1278,10544,-5176,-11351,172,789,-1564,66,2341,-834,10196,0
15,1345,10708,-5125,-11211,164,714,-1502,-94,2500,-563,10037,0
16,1435,10872,-5081,-11062,153,632,-1427,-246,2644,-305,9974,0
17,1538,11034,-5046,-10902,131,557,-1340,-333,2786,-80,10011,0
18,1647,11196,-5025,-10729,86,410,-1149,-328,2906,120,9953,0
19,1753,11357,-5022,-10544,60,350,-1024,-218,3001,285,10083,0
20,1851,11514,-5036,-10347,50,311,-901,-19,3058,423,10022,0
21,1945,11667,-5062,-10144,37,279,-693,218,3074,531,9972,0
22,2046,11812,-5088,-9941,56,261,-598,345,3067,616,10000,0
23,2164,11947,-5107,-9744,100,245,-515,279,3035,695,10146,0
24,2302,12070,-5118,-9553,117,224,-434,54,2990,785,9972,0
25,2457,12180,-5128,-9367,157,162,-316,-214,2936,897,10026,0
26,2615,12279,-5146,-9184,165,120,-235,-402,2861,1028,9982,0
27,2767,12367,-5182,-8999,171,72,-160,-404,2768,1165,10117,0
28,2907,12446,-5236,-8813,181,0,-62,-248,2660,1308,9992,0
29,3038,12514,-5305,-8629,188,-50,-30,-51,2532,1438,9997,0
30,3160,12573,-5389,-8446,186,-99,-8,108,2387,1552,10000,0
