# GESTURE_START label=1 caster=lucky rep=14 nsamples=47 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,8144,3375,-13770,-1044,-1637,-1117,-21,1571,-4658,1749,10001,0
1,7771,3302,-14009,-938,-1668,-1141,-14,1672,-4806,1615,9999,0
2,7382,3236,-14239,-846,-1701,-1148,-13,1606,-4930,1442,10000,0
3,6984,3169,-14457,-785,-1799,-1216,-114,1310,-5038,1244,10000,0
4,6580,3103,-14660,-764,-1824,-1228,-164,901,-5115,1012,10000,0
5,6174,3040,-14848,-784,-1837,-1248,-234,495,-5160,751,10004,0
6,5767,2984,-15019,-844,-1848,-1273,-314,85,-5160,467,9996,0
7,5366,2940,-15170,-940,-1855,-1316,-536,-253,-5100,155,10000,0
8,4971,2914,-15301,-1060,-1837,-1311,-649,-479,-4993,-163,10000,0
9,4588,2908,-15411,-1200,-1809,-1321,-748,-663,-4815,-493,10004,0
10,4225,2924,-15497,-1366,-1771,-1268,-956,-932,-4558,-843,9996,0
11,3889,2963,-15559,-1564,-1675,-1241,-1063,-1304,-4231,-1206,10002,0
12,3589,3021,-15593,-1812,-1612,-1190,-1172,-1897,-3834,-1577,9998,0
13,3334,3099,-15596,-2118,-1569,-1128,-1253,-2620,-3368,-1950,10006,0
14,3131,3196,-15565,-2479,-1504,-952,-1398,-3343,-2811,-2296,9994,0
15,2984,3313,-15499,-2888,-1416,-858,-1421,-4023,-2182,-2590,10014,0
16,2897,3446,-15395,-3340,-1380,-769,-1402,-4674,-1523,-2829,9990,0
17,2872,3589,-15251,-3835,-1333,-714,-1336,-5373,-841,-2983,10011,0
18,2909,3738,-15063,-4373,-1258,-633,-1071,-6087,-177,-3066,9999,0
19,3001,3888,-14830,-4939,-1240,-639,-912,-6678,424,-3088,10002,0
20,3135,4037,-14558,-5512,-1228,-654,-743,-7004,925,-3061,9997,0
21,3298,4183,-14251,-6080,-1154,-691,-428,-7177,1300,-2994,10002,0
22,3478,4320,-13913,-6640,-1110,-733,-351,-7298,1540,-2909,10002,0
23,3666,4448,-13549,-7187,-1119,-761,-272,-7340,1668,-2831,9998,0
24,3851,4567,-13163,-7712,-1105,-783,-224,-7256,1723,-2768,10000,0
25,4027,4677,-12763,-8213,-1013,-758,-204,-7110,1706,-2724,10002,0
26,4187,4780,-12351,-8689,-983,-732,-311,-6911,1635,-2709,10000,0
27,4328,4878,-11937,-9133,-948,-666,-477,-6599,1557,-2697,10003,0
28,4450,4975,-11530,-9537,-868,-508,-847,-6154,1510,-2672,9995,0
29,4556,5077,-11136,-9894,-823,-411,-1066,-5617,1532,-2621,10007,0
30,4653,5189,-10760,-10202,-802,-316,-1258,-5026,1656,-2538,9993,0
31,4751,5315,-10399,-10463,-773,-232,-1409,-4527,1871,-2430,10000,0
32,4857,5454,-10049,-10683,-776,-77,-1485,-4133,2161,-2293,10002,0
33,4975,5608,-9708,-10862,-777,-13,-1496,-3761,2478,-2123,10004,0
34,5106,5776,-9382,-10999,-749,51,-1471,-3372,2785,-1914,9995,0
35,5253,5953,-9069,-11098,-721,90,-1389,-3044,3069,-1668,9999,0
36,5414,6134,-8769,-11162,-673,205,-1159,-2766,3298,-1398,10000,0
37,5585,6318,-8489,-11192,-656,272,-1091,-2429,3441,-1109,9985,0
38,5762,6498,-8237,-11188,-660,317,-1042,-2049,3501,-795,10003,0
39,5946,6674,-8011,-11152,-624,316,-1036,-1701,3534,-462,10033,0
40,6139,6841,-7807,-11091,-573,263,-1070,-1471,3558,-129,10047,0
41,6349,6997,-7610,-11012,-553,202,-1051,-1445,3611,179,10052,0
42,6582,7138,-7406,-10923,-546,187,-1004,-1627,3697,445,10052,0
43,6860,7241,-7189,-10829,-533,94,-873,-2097,3728,950,10059,0
44,7141,7330,-6987,-10719,-523,99,-845,-1993,3656,1186,9954,0
45,7424,7406,-6799,-10595,-512,110,-832,-1887,3548,1422,10065,0
46,7704,7470,-6631,-10456,-458,106,-802,-1722,3433,1640,10015,0
# GESTURE_END
