# GESTURE_START label=1 caster=lucky rep=23 nsamples=43 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,6962,-230,-14829,-167,-1966,-827,-351,182,-4703,-53,10000,0
1,6589,-207,-14998,-158,-1986,-737,-547,172,-4730,-261,10000,0
2,6216,-172,-15157,-161,-1970,-683,-637,88,-4687,-452,10000,0
3,5847,-127,-15304,-179,-1946,-623,-714,-20,-4585,-627,10000,0
4,5487,-74,-15436,-217,-1905,-578,-794,-205,-4424,-780,10000,0
5,5142,-18,-15554,-281,-1832,-513,-954,-479,-4197,-921,10000,0
6,4819,42,-15655,-374,-1761,-483,-1000,-788,-3907,-1054,10000,0
7,4520,104,-15740,-495,-1723,-452,-1039,-1091,-3580,-1180,10000,0
8,4250,170,-15809,-642,-1603,-432,-1064,-1381,-3203,-1293,10000,0
9,4011,239,-15862,-819,-1522,-469,-1040,-1722,-2814,-1394,10004,0
10,3802,315,-15902,-1009,-1497,-461,-1007,-1846,-2441,-1503,9996,0
11,3621,400,-15929,-1202,-1467,-442,-967,-1881,-2089,-1596,10000,0
12,3467,491,-15944,-1407,-1397,-421,-873,-2017,-1748,-1670,10000,0
13,3340,584,-15946,-1632,-1360,-419,-822,-2251,-1421,-1730,10004,0
14,3240,677,-15935,-1888,-1338,-435,-775,-2643,-1092,-1770,9996,0
15,3167,767,-15907,-2187,-1349,-502,-691,-3149,-787,-1807,10001,0
16,3117,856,-15862,-2524,-1350,-572,-645,-3632,-504,-1843,10018,0
17,3088,944,-15800,-2893,-1332,-659,-596,-4032,-250,-1887,9982,0
18,3075,1036,-15719,-3287,-1319,-730,-577,-4355,-43,-1967,10014,0
19,3074,1135,-15620,-3703,-1350,-828,-561,-4629,129,-2074,10001,0
20,3082,1243,-15503,-4128,-1352,-893,-569,-4757,283,-2194,9998,0
21,3096,1367,-15373,-4544,-1329,-931,-582,-4681,430,-2336,10001,0
22,3114,1509,-15232,-4943,-1335,-960,-607,-4487,568,-2487,10002,0
23,3132,1671,-15088,-5309,-1361,-921,-683,-4098,692,-2631,10002,0
24,3150,1855,-14948,-5625,-1355,-881,-768,-3507,814,-2764,10006,0
25,3167,2062,-14815,-5889,-1366,-823,-854,-2875,948,-2870,9989,0
26,3187,2288,-14688,-6108,-1356,-624,-1046,-2346,1122,-2956,10001,0
27,3218,2530,-14561,-6298,-1340,-526,-1151,-2018,1339,-3003,10000,0
28,3268,2781,-14427,-6472,-1337,-431,-1222,-1903,1622,-3003,10002,0
29,3344,3038,-14280,-6642,-1323,-350,-1248,-1959,1959,-2945,9998,0
30,3453,3294,-14114,-6816,-1314,-247,-1185,-2159,2318,-2833,10000,0
31,3597,3544,-13927,-6997,-1301,-239,-1138,-2432,2671,-2673,10000,0
32,3773,3787,-13724,-7178,-1298,-235,-1065,-2600,2993,-2486,9998,0
33,3973,4021,-13511,-7344,-1283,-207,-877,-2594,3242,-2264,9987,0
34,4188,4246,-13299,-7483,-1258,-192,-825,-2404,3418,-2028,10002,0
35,4408,4465,-13099,-7581,-1242,-171,-796,-1998,3517,-1774,9998,0
36,4629,4676,-12918,-7634,-1249,-152,-768,-1489,3568,-1515,10007,0
37,4845,4882,-12758,-7640,-1185,-125,-723,-957,3586,-1259,10032,0
38,5058,5081,-12616,-7607,-1144,-115,-716,-516,3588,-1018,10051,0
39,5270,5272,-12488,-7545,-1120,-100,-719,-228,3594,-796,10050,0
40,5486,5450,-12365,-7465,-1106,-97,-735,-85,3608,-580,10051,0
41,5711,5614,-12243,-7376,-1038,-95,-784,-92,3643,-372,10057,0
42,5952,5762,-12113,-7286,-1031,-107,-798,-263,3722,-178,9958,0
# GESTURE_END
