# GESTURE_START label=2 caster=lucky rep=3 nsamples=90 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2015,-12374,9828,3829,18,-45,-759,-692,-1167,-186,10000,0
1,2032,-12371,9787,3933,-4,-22,-804,-678,-1091,-235,10000,0
2,2056,-12370,9747,4024,-27,5,-863,-532,-1027,-270,10007,0
3,2090,-12367,9712,4100,-28,25,-939,-326,-958,-279,10007,0
4,2136,-12363,9682,4160,-29,78,-1085,-85,-886,-279,9986,0
5,2189,-12358,9657,4203,-53,112,-1131,103,-792,-270,10000,0
6,2242,-12353,9637,4236,-46,166,-1197,191,-700,-250,10006,0
7,2288,-12348,9620,4263,-75,206,-1355,170,-593,-211,10016,0
8,2320,-12345,9605,4288,-78,215,-1431,74,-461,-165,10046,0
9,2337,-12344,9593,4309,-66,194,-1516,-36,-316,-109,10050,0
10,2345,-12344,9587,4320,-45,171,-1605,-18,-162,-57,10051,0
11,2361,-12341,9593,4306,-12,99,-1793,250,13,-9,10056,0
12,2392,-12337,9613,4256,14,88,-1855,677,251,19,9954,0
13,2428,-12335,9644,4171,14,79,-1913,988,535,32,10056,0
14,2458,-12337,9681,4056,-9,78,-1926,1152,870,26,10042,0
15,2473,-12347,9724,3914,-84,89,-1839,1205,1234,11,10003,0
16,2464,-12366,9767,3751,-136,108,-1757,1120,1612,-10,10011,0
17,2420,-12394,9808,3575,-203,127,-1653,1120,1612,-10,10090,0
18,2336,-12432,9845,3390,-288,149,-1395,888,1986,-29,10012,0
19,2217,-12476,9881,3199,-353,170,-1236,577,2347,-35,10001,0
20,2071,-12523,9916,2996,-411,194,-1064,298,2676,-29,9998,0
21,1910,-12568,9954,2782,-464,206,-876,133,2959,2,10131,0
22,1739,-12608,9996,2555,-511,253,-480,87,3176,50,10096,0
23,1558,-12642,10040,2323,-557,259,-262,102,3346,115,9980,0
24,1371,-12668,10085,2089,-597,260,-56,68,3457,193,10003,0
25,1182,-12685,10133,1858,-575,236,332,34,3501,274,10004,0
26,987,-12693,10181,1638,-577,217,504,10,3487,359,9961,0
27,787,-12693,10229,1437,-564,158,663,-113,3409,441,10090,0
28,591,-12684,10277,1251,-551,92,807,-292,3278,522,9972,0
29,408,-12668,10326,1080,-468,48,1016,-365,3093,590,10000,0
30,241,-12644,10375,927,-458,11,1080,-342,2865,645,10031,0
31,95,-12614,10426,789,-455,-40,1129,-331,2579,699,10114,0
32,28,12579,-10477,-665,-375,-168,1183,-262,2287,739,9976,0
33,121,12541,-10528,-550,-351,-233,1203,-146,1989,769,10004,0
34,186,12502,-10578,-441,-329,-282,1217,46,1698,780,9992,0
35,229,12464,-10626,-344,-298,-320,1215,250,1420,769,10125,0
36,262,12428,-10670,-267,-255,-445,1143,355,1158,731,10020,0
37,291,12395,-10709,-211,-268,-497,1078,293,911,679,9972,0
38,321,12366,-10741,-177,-259,-569,1010,163,700,604,10027,0
39,349,12344,-10767,-158,-255,-647,943,9,516,510,10000,0
40,368,12328,-10784,-147,-250,-769,824,-101,365,402,10099,0
41,377,12321,-10792,-140,-262,-809,773,-91,237,276,10027,0
42,375,12323,-10790,-134,-294,-831,736,-25,127,130,9961,0
43,368,12334,-10777,-134,-349,-879,630,60,33,-31,10015,0
44,363,12355,-10753,-145,-357,-934,566,72,-51,-200,10112,0
45,364,12387,-10716,-166,-352,-993,499,-43,-117,-376,10001,0
46,361,12430,-10666,-190,-356,-1047,441,-154,-167,-567,10017,0
47,351,12485,-10601,-211,-379,-1100,371,-157,-209,-769,10000,0
48,334,12553,-10521,-229,-403,-1110,359,-61,-236,-987,10102,0
49,309,12632,-10426,-246,-456,-1088,343,21,-263,-1216,10000,0
50,277,12723,-10315,-264,-520,-1051,285,93,-303,-1444,10030,0
51,239,12825,-10189,-284,-529,-1025,228,156,-352,-1666,9968,0
52,202,12938,-10045,-307,-526,-1007,166,189,-403,-1890,10142,0
53,168,13062,-9883,-336,-500,-974,112,160,-438,-2122,10012,0
54,136,13196,-9702,-364,-497,-833,33,90,-449,-2366,9979,0
55,100,13340,-9503,-386,-503,-732,12,71,-429,-2614,9981,0
56,59,13491,-9287,-398,-502,-614,13,146,-391,-2849,10004,0
57,13,13648,-9056,-404,-516,-491,23,256,-342,-3060,10142,0
58,35,-13808,8810,404,-524,-212,45,332,-298,-3246,10000,0
59,84,-13969,8553,402,-488,-64,51,395,-261,-3403,9971,0
60,129,-14128,8287,398,-476,76,46,415,-236,-3521,10048,0
61,175,-14283,8016,393,-458,375,48,388,-213,-3596,10097,0
62,223,-14431,7745,384,-445,515,56,393,-191,-3617,9981,0
63,272,-14570,7480,373,-430,630,62,439,-175,-3579,10015,0
64,320,-14698,7222,363,-394,721,61,469,-163,-3481,10004,0
65,366,-14816,6975,355,-290,880,43,456,-165,-3340,10045,0
66,408,-14924,6739,349,-240,962,24,420,-170,-3181,10070,0
67,450,-15021,6518,344,-199,1037,1,386,-178,-3007,9980,0
68,494,-15107,6313,339,-144,1162,-38,381,-188,-2802,10032,0
69,537,-15182,6128,334,-118,1192,-52,412,-190,-2577,9988,0
70,537,-15182,6128,334,-89,1204,-63,410,-186,-2325,10117,0
71,573,-15246,5962,330,-67,1198,-83,336,-163,-2063,10029,0
72,598,-15301,5817,328,-8,1175,-147,224,-136,-1796,9971,0
73,613,-15347,5693,329,9,1161,-191,109,-104,-1537,10011,0
74,620,-15386,5587,329,13,1145,-225,33,-67,-1295,10116,0
75,622,-15417,5501,328,12,1125,-266,-2,-25,-1066,9968,0
76,626,-15441,5431,321,3,1108,-278,42,28,-851,10002,0
77,629,-15460,5379,310,-6,1087,-283,55,88,-651,10029,0
78,624,-15474,5341,296,-11,1068,-279,-15,161,-465,10105,0
79,613,-15482,5318,277,-27,1046,-261,-58,235,-291,10012,0
80,602,-15486,5309,254,-38,1028,-245,-41,298,-127,9986,0
81,593,-15486,5312,224,-37,1018,-228,18,353,27,9997,0
82,589,-15481,5328,191,-44,1003,-232,84,391,175,10109,0
83,589,-15472,5355,153,-46,970,-183,145,425,316,10023,0
84,589,-15459,5393,111,-40,942,-137,171,469,450,9961,0
85,583,-15442,5443,70,-51,943,-121,98,493,590,10012,0
86,576,-15421,5504,26,-70,904,-76,101,528,725,10112,0
87,565,-15396,5576,-19,-99,866,-63,69,563,862,10004,0
88,543,-15366,5659,-64,-163,839,-29,-53,601,1002,9996,0
89,508,-15332,5753,-106,-146,784,-16,-197,640,1145,10008,0
# GESTURE_END
