# GESTURE_START label=2 caster=lucky rep=15 nsamples=97 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2612,-11650,10281,4492,-30,-129,-1065,-251,-106,-181,10000,0
1,2611,-11664,10264,4495,-18,-174,-1098,-115,-4,-233,10000,0
2,2618,-11680,10252,4480,-21,-137,-1128,104,99,-269,10000,0
3,2635,-11697,10245,4442,4,-123,-1163,361,235,-303,10000,0
4,2654,-11717,10240,4386,22,-62,-1191,508,371,-345,10007,0
5,2669,-11742,10237,4318,23,-52,-1202,555,530,-386,9993,0
6,2667,-11775,10230,4244,9,-16,-1202,434,718,-425,10000,0
7,2640,-11818,10219,4169,0,58,-1173,201,918,-465,10000,0
8,2587,-11869,10203,4095,-23,92,-1146,-54,1120,-484,10000,0
9,2514,-11925,10186,4019,-49,120,-1107,-213,1300,-472,10000,0
10,2431,-11983,10172,3932,-86,152,-1050,-214,1465,-443,10000,0
11,2348,-12038,10166,3830,-119,202,-941,-81,1597,-396,10000,0
12,2271,-12088,10167,3712,-149,220,-887,117,1702,-334,10000,0
13,2199,-12134,10177,3578,-158,222,-840,299,1787,-268,10000,0
14,2129,-12174,10193,3433,-140,216,-729,421,1872,-203,10000,0
15,2056,-12212,10214,3281,-161,232,-664,458,1956,-144,10000,0
16,1972,-12247,10236,3127,-180,241,-599,390,2040,-92,10028,0
17,1876,-12280,10260,2975,-200,239,-534,275,2115,-33,10053,0
18,1771,-12310,10286,2822,-224,208,-421,210,2182,33,10061,0
19,1663,-12334,10316,2666,-252,186,-353,220,2231,103,10067,0
20,1555,-12354,10351,2503,-269,159,-271,295,2275,170,10044,0
21,1450,-12368,10388,2335,-280,131,-197,362,2299,218,9962,0
22,1343,-12379,10426,2165,-272,73,-77,356,2320,252,10048,0
23,1231,-12388,10463,1997,-282,52,-17,309,2339,268,10032,0
24,1118,-12395,10498,1830,-296,33,42,285,2345,274,10000,0
25,1003,-12400,10532,1662,-305,10,172,281,2345,272,10000,0
26,887,-12403,10563,1497,-321,-4,237,281,2345,272,10100,0
27,762,-12405,10590,1343,-326,-19,312,243,2339,268,9998,0
28,633,-12406,10615,1197,-332,-34,387,86,2294,258,10001,0
29,502,-12406,10637,1061,-301,-77,530,-23,2251,252,10000,0
30,373,-12403,10658,932,-290,-104,607,-108,2184,250,10196,0
31,248,-12399,10676,811,-286,-118,679,-148,2103,246,10009,0
32,130,-12394,10692,700,-262,-163,792,-167,1998,240,10002,0
33,21,-12388,10706,597,-271,-192,834,-184,1867,230,10001,0
34,77,12381,-10718,-503,-273,-219,866,-168,1718,216,9963,0
35,164,12375,-10729,-419,-272,-247,889,-139,1559,196,10070,0
36,240,12369,-10736,-344,-268,-322,891,-122,1393,172,10023,0
37,303,12365,-10741,-278,-263,-351,882,-94,1223,142,9971,0
38,356,12363,-10743,-221,-254,-385,855,-51,1056,99,10051,0
39,399,12364,-10741,-171,-225,-427,819,-26,894,48,10094,0
40,433,12369,-10735,-127,-198,-502,739,-3,758,-5,10000,0
41,456,12378,-10724,-87,-210,-527,702,35,641,-75,10000,0
42,470,12391,-10708,-48,-216,-552,661,105,536,-149,9976,0
43,477,12409,-10687,-12,-227,-611,593,180,449,-226,10121,0
44,485,12432,-10661,16,-232,-647,550,207,374,-306,9989,0
45,498,12460,-10627,33,-224,-699,497,147,312,-395,10001,0
46,511,12495,-10585,46,-217,-744,443,28,257,-501,9999,0
47,516,12537,-10535,60,-231,-796,349,-8,219,-624,10125,0
48,510,12588,-10474,80,-242,-805,313,72,183,-758,10004,0
49,492,12646,-10405,106,-258,-801,295,230,152,-899,10000,0
50,471,12711,-10326,133,-284,-799,254,372,126,-1038,9995,0
51,451,12783,-10237,156,-304,-796,230,408,102,-1173,10109,0
52,436,12861,-10139,174,-315,-799,211,383,83,-1305,10012,0
53,428,12946,-10031,186,-307,-803,194,303,76,-1443,10017,0
54,427,13037,-9912,193,-286,-794,153,197,74,-1584,10012,0
55,428,13135,-9781,198,-284,-769,130,103,78,-1730,10089,0
56,427,13240,-9639,206,-295,-740,127,71,84,-1887,10031,0
57,416,13352,-9484,220,-306,-623,165,120,91,-2045,9970,0
58,395,13469,-9318,239,-324,-544,205,249,88,-2198,10009,0
59,366,13589,-9141,259,-335,-464,236,384,67,-2339,10008,0
60,331,13713,-8956,277,-338,-385,270,473,27,-2457,10121,0
61,294,13837,-8764,288,-344,-205,291,513,-30,-2558,9974,0
62,261,13960,-8568,289,-366,-126,276,489,-104,-2629,10029,0
63,230,14080,-8369,281,-365,-68,250,402,-180,-2671,9962,0
64,197,14198,-8170,269,-339,-16,216,319,-246,-2682,10151,0
65,155,14312,-7970,257,-303,82,146,313,-306,-2674,9975,0
66,100,14422,-7770,246,-286,125,121,404,-365,-2656,10012,0
67,34,14528,-7571,239,-271,181,103,539,-410,-2627,10017,0
68,36,-14629,7374,-230,-276,284,72,680,-444,-2593,10103,0
69,99,-14726,7178,-217,-257,339,47,709,-472,-2550,10014,0
70,144,-14819,6985,-195,-233,376,17,608,-486,-2513,10003,0
71,172,-14908,6793,-167,-217,408,-18,382,-481,-2473,9995,0
72,191,-14993,6603,-138,-196,482,-91,168,-460,-2439,10099,0
73,208,-15074,6416,-112,-191,532,-115,70,-429,-2395,9999,0
74,227,-15150,6233,-89,-196,589,-126,65,-395,-2349,10020,0
75,250,-15222,6054,-71,-188,703,-144,103,-358,-2293,9998,0
76,276,-15289,5882,-56,-177,765,-146,165,-331,-2222,10002,0
77,276,-15289,5882,-56,-177,828,-155,206,-300,-2129,10115,0
78,301,-15351,5717,-43,-167,877,-169,213,-283,-2031,10000,0
79,324,-15408,5561,-30,-121,967,-203,195,-264,-1918,10000,0
80,344,-15460,5414,-18,-113,1003,-232,152,-243,-1798,10007,0
81,356,-15507,5277,-5,-93,1047,-262,79,-218,-1675,10111,0
82,364,-15549,5150,6,-66,1088,-282,26,-187,-1541,10009,0
83,371,-15587,5035,15,-40,1163,-318,35,-148,-1398,9970,0
84,382,-15619,4933,18,-37,1191,-326,98,-104,-1239,10030,0
85,400,-15646,4844,16,-31,1218,-328,204,-62,-1067,10116,0
86,428,-15668,4771,8,-6,1258,-313,329,-22,-893,9991,0
87,462,-15685,4711,-7,5,1272,-304,419,24,-714,10005,0
88,496,-15697,4668,-24,12,1275,-293,431,69,-531,9991,0
89,524,-15705,4639,-45,2,1269,-256,377,123,-349,10113,0
90,544,-15708,4626,-68,41,1215,-259,293,184,-158,9992,0
91,556,-15706,4630,-93,46,1198,-244,208,242,40,9991,0
92,561,-15700,4651,-121,24,1172,-229,154,306,239,10019,0
93,568,-15688,4688,-155,4,1106,-167,191,368,434,10117,0
94,580,-15671,4741,-195,-20,1067,-134,262,420,627,10000,0
95,596,-15649,4809,-239,-49,1028,-99,328,470,816,10001,0
96,614,-15622,4892,-287,-72,981,-58,357,511,990,9999,0
# GESTURE_END
