# GESTURE_START label=0 caster=lucky rep=26 nsamples=73 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2594,-7115,-14522,439,-480,96,733,-974,2602,-253,9972,0
1,2749,-7119,-14496,261,-476,95,816,-1053,2528,-210,10003,0
2,2895,-7124,-14467,87,-483,90,852,-1053,2528,-210,10125,0
3,3035,-7132,-14434,-80,-483,77,888,-1048,2432,-160,9968,0
4,3167,-7142,-14399,-239,-454,43,957,-1015,2331,-107,10000,0
5,3292,-7153,-14362,-389,-451,28,997,-974,2222,-57,10007,0
6,3407,-7165,-14325,-529,-439,17,1027,-930,2101,-14,10192,0
7,3511,-7176,-14289,-663,-428,12,1057,-867,1960,10,10013,0
8,3600,-7189,-14254,-795,-402,1,1116,-871,1809,20,9997,0
9,3672,-7204,-14220,-927,-389,-5,1133,-936,1643,22,10000,0
10,3728,-7218,-14189,-1055,-376,-15,1152,-1017,1472,20,10023,0
11,3770,-7233,-14161,-1175,-349,-3,1173,-1053,1291,13,10046,0
12,3798,-7246,-14137,-1284,-336,4,1173,-1044,1094,0,9959,0
13,3811,-7258,-14118,-1379,-336,28,1173,-1001,880,-12,10000,0
14,3811,-7270,-14104,-1461,-342,51,1167,-937,660,-24,10127,0
15,3797,-7282,-14094,-1529,-338,96,1140,-863,440,-29,10019,0
16,3772,-7296,-14088,-1581,-324,112,1130,-782,225,-24,10006,0
17,3735,-7311,-14086,-1618,-314,130,1118,-699,17,-5,9965,0
18,3688,-7328,-14088,-1637,-318,154,1106,-597,-187,22,10124,0
19,3632,-7347,-14092,-1637,-337,194,1068,-469,-390,54,10015,0
20,3566,-7369,-14099,-1621,-333,200,1045,-341,-590,100,10000,0
21,3490,-7397,-14107,-1593,-336,204,1020,-232,-779,151,9993,0
22,3404,-7429,-14115,-1555,-359,202,974,-169,-953,215,10016,0
23,3308,-7466,-14124,-1508,-366,204,944,-143,-1112,275,10099,0
24,3203,-7508,-14132,-1454,-376,195,913,-112,-1263,329,10008,0
25,3087,-7554,-14138,-1398,-387,168,884,-114,-1395,386,10000,0
26,2962,-7605,-14143,-1340,-382,110,831,-154,-1516,438,10002,0
27,2830,-7657,-14148,-1278,-382,96,818,-188,-1618,477,10115,0
28,2693,-7709,-14153,-1210,-400,84,797,-184,-1706,501,10020,0
29,2549,-7760,-14157,-1140,-452,60,742,-162,-1794,506,10000,0
30,2396,-7811,-14161,-1074,-454,48,723,-183,-1871,501,9980,0
31,2234,-7861,-14164,-1013,-454,35,696,-262,-1938,482,10116,0
32,2062,-7909,-14168,-958,-467,11,667,-368,-1999,454,10020,0
33,1882,-7954,-14171,-909,-487,-9,623,-481,-2058,424,10000,0
34,1693,-7995,-14174,-867,-511,-21,604,-579,-2110,383,9980,0
35,1493,-8034,-14177,-833,-542,-37,589,-687,-2160,336,10083,0
36,1282,-8068,-14179,-810,-581,-49,526,-837,-2210,283,10041,0
37,1057,-8098,-14181,-798,-579,-46,481,-1004,-2270,230,10024,0
38,818,-8122,-14183,-797,-594,-41,436,-1181,-2337,167,9976,0
39,566,-8142,-14184,-804,-618,-34,394,-1368,-2409,100,10069,0
40,303,-8156,-14183,-815,-667,-22,310,-1525,-2492,44,10052,0
41,31,-8167,-14179,-824,-664,-22,260,-1627,-2578,1,10040,0
42,249,8175,14173,820,-693,6,193,-1661,-2684,-27,9976,0
43,534,8181,14163,798,-721,48,84,-1585,-2826,-44,10092,0
44,827,8187,14147,765,-707,81,-223,-1425,-2981,-51,10008,0
45,1129,8193,14125,728,-679,78,-399,-1365,-3126,-25,10012,0
46,1433,8200,14095,685,-684,76,-558,-1386,-3244,9,10007,0
47,1730,8208,14059,632,-645,44,-849,-1344,-3304,50,10002,0
48,2016,8219,14018,565,-626,48,-976,-1199,-3307,91,10089,0
