# GESTURE_START label=0 caster=lucky rep=17 nsamples=54 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,3632,-7731,-13980,-214,-311,104,839,-195,1263,191,10019,0
1,3704,-7744,-13952,-261,-313,126,844,-158,1152,183,9999,0
2,3770,-7758,-13927,-302,-303,167,855,-105,1043,177,9982,0
3,3828,-7772,-13902,-339,-298,173,858,-83,935,175,10115,0
4,3878,-7787,-13878,-373,-296,182,865,-87,831,185,10049,0
5,3922,-7805,-13855,-405,-292,194,880,-107,743,205,9952,0
6,3958,-7826,-13832,-437,-283,220,910,-130,662,227,9999,0
7,3984,-7851,-13810,-469,-280,230,918,-174,577,252,10055,0
8,4001,-7879,-13787,-502,-271,236,928,-240,491,283,10062,0
9,3999,-7917,-13765,-536,-270,236,954,-317,402,314,10030,0
10,3989,-7958,-13743,-568,-270,236,967,-456,219,394,9970,0
11,3970,-8003,-13721,-597,-274,230,982,-490,124,430,10023,0
12,3943,-8051,-13700,-625,-273,217,994,-524,26,467,10107,0
13,3906,-8102,-13679,-650,-264,217,1033,-565,-70,496,10013,0
14,3859,-8156,-13659,-675,-274,223,1051,-609,-174,522,9974,0
15,3801,-8213,-13640,-696,-283,220,1065,-663,-285,546,10033,0
16,3736,-8271,-13622,-709,-289,206,1081,-696,-407,571,10118,0
17,3663,-8330,-13606,-710,-288,184,1091,-670,-536,598,9995,0
18,3585,-8388,-13592,-694,-284,160,1096,-596,-676,619,9991,0
19,3503,-8443,-13581,-662,-273,122,1093,-465,-830,636,10020,0
20,3415,-8496,-13573,-614,-262,51,1082,-324,-981,641,10041,0
21,3321,-8543,-13569,-548,-285,20,1079,-196,-1139,626,10076,0
22,3224,-8583,-13571,-465,-292,-6,1047,-41,-1298,591,10001,0
23,3120,-8617,-13576,-370,-284,-17,1019,107,-1456,536,9999,0
24,3120,-8617,-13576,-370,-317,34,1029,204,-1593,467,10098,0
25,3007,-8644,-13587,-270,-320,89,1056,213,-1720,389,10017,0
26,2879,-8668,-13601,-176,-302,153,1069,71,-1833,320,9983,0
27,2725,-8693,-13617,-103,-370,279,1041,-281,-1958,268,10000,0
28,2538,-8722,-13635,-60,-444,321,994,-788,-2101,237,10033,0
29,2322,-8755,-13653,-38,-467,359,924,-1183,-2247,238,10100,0
30,2087,-8790,-13668,-22,-489,359,850,-1354,-2384,264,9991,0
31,1839,-8828,-13679,-7,-577,295,704,-1446,-2511,320,9997,0
32,1581,-8869,-13685,16,-606,270,632,-1435,-2635,388,9996,0
33,1321,-8912,-13685,56,-652,246,571,-1291,-2760,458,10003,0
34,1062,-8956,-13678,119,-811,236,403,-1068,-2892,538,10121,0
35,801,-9003,-13663,204,-787,188,270,-856,-3045,634,9984,0
36,531,-9056,-13640,301,-768,114,100,-804,-3200,742,10036,0
37,248,-9112,-13608,401,-782,56,-98,-863,-3327,843,10002,0
38,45,9170,13569,-496,-804,-101,-563,-969,-3409,910,10113,0
39,352,9226,13522,-573,-799,-171,-799,-1239,-3419,948,9986,0
40,667,9279,13472,-630,-798,-238,-1022,-1462,-3369,941,10003,0
41,979,9326,13418,-677,-784,-379,-1215,-1558,-3281,914,10021,0
42,1272,9368,13362,-732,-677,-636,-1556,-1346,-3159,871,9992,0
43,1518,9408,13301,-835,-645,-681,-1677,-584,-3026,818,10117,0
44,1691,9454,13235,-1018,-712,-676,-1731,656,-2885,775,9980,0
45,1791,9508,13161,-1275,-564,-679,-1684,1846,-2696,764,10006,0
46,1841,9567,13079,-1564,-423,-676,-1621,2497,-2455,774,10001,0
47,1877,9624,12998,-1831,-263,-735,-1546,2387,-2182,762,10115,0
48,1938,9667,12928,-2025,-298,-828,-1477,1507,-1906,703,10027,0
49,2037,9692,12877,-2127,-163,-863,-1423,369,-1636,565,9998,0
50,2146,9699,12846,-2179,-153,-840,-1377,-216,-1380,365,9975,0
51,2247,9693,12829,-2206,-101,-835,-1291,-429,-1141,178,10012,0
52,2335,9677,12823,-2219,1,-755,-1097,-501,-917,15,10131,0
53,2404,9654,12825,-2228,25,-711,-980,-434,-710,-131,9999,0
# GESTURE_END
