# GESTURE_START label=0 caster=lucky rep=16 nsamples=63 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,128,7703,14343,-1837,-285,-3,-239,-711,2250,53,9999,0
1,21,-7730,-14347,1687,-311,45,-62,-714,2354,68,10000,0
2,175,-7758,-14348,1536,-334,58,23,-687,2423,98,10001,0
3,336,-7788,-14343,1388,-352,58,112,-616,2461,139,10000,0
4,500,-7820,-14334,1249,-372,62,204,-508,2470,180,10000,0
5,665,-7854,-14320,1113,-381,72,357,-461,2451,216,9999,0
6,828,-7888,-14303,979,-399,69,415,-451,2419,252,10005,0
7,986,-7923,-14282,847,-399,60,473,-462,2368,291,9998,0
8,1139,-7960,-14257,717,-374,27,576,-459,2311,323,9999,0
9,1289,-7997,-14229,593,-374,7,626,-426,2241,353,9999,0
10,1433,-8034,-14199,475,-369,-4,671,-394,2164,368,10003,0
11,1570,-8069,-14168,359,-359,-17,718,-402,2069,374,9997,0
12,1698,-8104,-14136,246,-333,-22,795,-439,1965,372,10000,0
13,1816,-8138,-14103,136,-334,-19,825,-459,1849,368,10000,0
14,1925,-8170,-14071,30,-323,-15,841,-461,1734,359,10002,0
15,2025,-8201,-14039,-69,-294,-15,887,-454,1611,356,10003,0
16,2116,-8230,-14007,-161,-289,-10,898,-430,1481,351,9995,0
17,2199,-8258,-13976,-244,-287,-1,909,-378,1350,341,10002,0
18,2276,-8285,-13947,-317,-290,10,919,-321,1218,339,10010,0
19,2345,-8311,-13918,-380,-264,22,923,-261,1084,334,10001,0
20,2407,-8336,-13891,-432,-265,30,922,-193,959,337,10003,0
21,2463,-8361,-13865,-474,-267,42,924,-130,829,338,9998,0
22,2512,-8385,-13840,-508,-264,55,924,-98,713,344,10002,0
23,2552,-8411,-13817,-537,-255,65,935,-100,597,349,9997,0
24,2583,-8437,-13794,-563,-247,74,938,-121,484,356,10001,0
25,2604,-8464,-13772,-586,-245,84,938,-156,373,363,10000,0
26,2616,-8493,-13751,-606,-235,101,921,-185,257,375,10003,0
27,2619,-8524,-13731,-622,-229,107,918,-205,152,389,9997,0
28,2615,-8556,-13711,-633,-236,113,916,-191,50,407,9999,0
29,2606,-8589,-13692,-635,-233,122,919,-150,-50,430,10001,0
30,2592,-8624,-13673,-630,-233,138,922,-107,-154,456,10003,0
31,2572,-8661,-13654,-617,-237,150,924,-69,-253,483,9997,0
32,2546,-8700,-13635,-597,-235,160,931,-52,-348,514,10000,0
33,2513,-8741,-13616,-575,-238,177,950,-73,-437,539,10000,0
34,2470,-8785,-13596,-552,-237,183,971,-124,-531,566,10000,0
35,2418,-8831,-13576,-528,-238,193,994,-182,-633,592,10000,0
36,2355,-8881,-13556,-505,-249,204,1015,-264,-737,616,10000,0
37,2279,-8934,-13535,-484,-270,220,1052,-368,-846,642,10004,0
38,2190,-8989,-13514,-462,-275,221,1061,-446,-969,670,10007,0
39,2091,-9046,-13492,-436,-274,216,1071,-482,-1093,689,10049,0
40,1984,-9104,-13470,-402,-261,203,1064,-442,-1223,707,10051,0
41,1873,-9161,-13449,-352,-249,184,967,-327,-1359,713,10059,0
42,1760,-9216,-13428,-286,-262,193,918,-173,-1481,715,10043,0
43,1649,-9269,-13407,-206,-280,199,868,-38,-1565,718,9970,0
44,1538,-9320,-13386,-115,-287,195,738,70,-1626,715,10084,0
45,1429,-9370,-13364,-15,-282,190,658,169,-1660,712,10016,0
46,1322,-9418,-13341,87,-311,189,572,210,-1666,701,9996,0
47,1211,-9464,-13318,181,-364,189,494,102,-1639,687,10000,0
48,1090,-9510,-13295,251,-425,197,343,102,-1639,687,10099,0
49,950,-9556,-13271,283,-447,182,285,-182,-1579,661,10000,0
50,784,-9604,-13248,270,-477,160,265,-670,-1502,641,10000,0
51,587,-9652,-13224,212,-593,57,210,-1274,-1441,627,10001,0
52,363,-9698,-13200,126,-615,3,159,-1895,-1430,613,10195,0
53,115,-9742,-13173,22,-628,-60,100,-2351,-1483,597,10007,0
54,156,9781,13143,87,-663,-134,23,-2669,-1594,583,9995,0
55,442,9815,13110,191,-513,-389,-134,-2876,-1758,566,9986,0
56,730,9842,13076,263,-442,-465,-214,-2939,-1950,534,10040,0
57,992,9864,13041,267,-532,-465,-327,-2658,-2172,474,9998,0
58,1219,9886,13007,198,-539,-406,-584,-1849,-2408,398,10001,0
59,1415,9910,12970,72,-450,-363,-702,-942,-2603,351,9999,0
60,1590,9936,12929,-84,-400,-307,-816,-193,-2708,343,10004,0
61,1761,9963,12885,-243,-393,-255,-932,225,-2742,357,10117,0
62,1935,9989,12836,-384,-367,-236,-1112,284,-2719,388,9995,0
# GESTURE_END
