# GESTURE_START label=3 caster=lucky rep=11 nsamples=116 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1637,-5897,-15198,121,-396,295,1206,-453,-1650,-156,10010,0
1,1469,-5891,-15217,135,-417,309,1143,-542,-1880,-104,9859,0
2,1284,-5889,-15234,156,-412,302,1059,-550,-2088,-53,10013,0
3,1087,-5890,-15249,188,-398,328,866,-479,-2274,-1,9881,0
4,877,-5893,-15260,230,-395,348,759,-414,-2437,45,9854,0
5,658,-5898,-15269,280,-391,367,670,-380,-2576,80,10006,0
6,428,-5905,-15273,327,-385,446,531,-455,-2677,124,9994,0
7,187,-5915,-15273,365,-450,549,327,-598,-2751,174,10000,0
8,66,5929,15269,-389,-458,578,236,-799,-2822,238,10000,0
9,328,5946,15258,-404,-416,589,118,-927,-2882,299,10000,0
10,594,5967,15242,-422,-391,591,7,-917,-2930,361,10000,0
11,860,5991,15219,-450,-379,657,-212,-802,-2981,426,10004,0
12,1124,6020,15188,-490,-344,664,-333,-664,-3019,500,9996,0
13,1387,6055,15151,-534,-354,690,-460,-596,-3017,588,10000,0
14,1649,6095,15107,-574,-316,678,-704,-634,-3009,677,10000,0
15,1908,6141,15057,-611,-285,680,-857,-653,-2956,769,10004,0
16,2158,6193,15000,-647,-246,671,-990,-599,-2867,858,10002,0
17,2396,6252,14938,-687,-157,560,-1052,-501,-2759,946,9995,0
18,2615,6319,14870,-737,-120,504,-1246,-288,-2611,1015,10013,0
19,2816,6391,14800,-794,-83,473,-1322,-128,-2455,1080,10000,0
20,3003,6469,14726,-845,-79,445,-1382,-118,-2287,1139,10002,0
21,3176,6548,14652,-885,-34,361,-1532,-156,-2087,1184,10000,0
22,3331,6631,14578,-917,8,318,-1599,-155,-1865,1219,9998,0
23,3468,6716,14506,-940,32,273,-1653,-158,-1633,1249,10001,0
24,3585,6804,14435,-956,50,238,-1701,-139,-1390,1272,9999,0
25,3681,6895,14367,-967,97,154,-1736,-64,-1137,1290,10006,0
26,3752,6990,14301,-979,110,106,-1739,65,-890,1307,9994,0
