# GESTURE_START label=3 caster=lucky rep=2 nsamples=131 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1842,-12097,10729,1894,-300,403,-482,-20,-2113,727,10001,0
1,1961,-12031,10758,2025,-266,432,-615,149,-2071,757,10002,0
2,2089,-11959,10792,2140,-236,446,-679,362,-2015,806,9998,0
3,2221,-11881,10831,2244,-203,455,-737,489,-1935,875,10000,0
4,2343,-11799,10874,2343,-177,457,-788,473,-1827,951,9999,0
5,2448,-11714,10920,2444,-161,435,-861,312,-1717,1030,10000,0
6,2532,-11628,10968,2552,-143,401,-889,88,-1600,1106,10000,0
7,2596,-11541,11019,2665,-120,359,-912,-94,-1487,1174,10000,0
8,2648,-11451,11072,2777,-117,266,-952,-187,-1384,1233,10001,0
9,2696,-11359,11128,2882,-96,214,-976,-148,-1301,1281,10002,0
10,2746,-11262,11189,2975,-79,172,-1014,-20,-1222,1321,9997,0
11,2802,-11162,11255,3053,-65,140,-1056,156,-1144,1353,10001,0
12,2860,-11058,11325,3118,-50,76,-1146,303,-1053,1382,10000,0
13,2916,-10952,11399,3170,-34,46,-1194,390,-944,1406,10000,0
14,2963,-10846,11475,3216,-31,10,-1235,385,-809,1428,10008,0
15,2994,-10742,11552,3258,-32,-30,-1278,287,-653,1444,9992,0
16,3006,-10643,11629,3300,-25,-137,-1342,137,-481,1456,10000,0
17,3000,-10548,11706,3339,-23,-199,-1369,13,-293,1452,10000,0
18,2978,-10458,11783,3370,-24,-259,-1388,-49,-100,1431,10011,0
19,2945,-10373,11861,3388,-15,-341,-1403,-25,99,1392,10002,0
20,2905,-10294,11939,3389,-27,-354,-1391,54,303,1334,10001,0
21,2857,-10221,12018,3373,-27,-428,-1371,121,509,1265,10005,0
22,2800,-10156,12095,3340,-41,-425,-1352,182,717,1188,9992,0
23,2734,-10098,12172,3291,-80,-447,-1284,244,929,1103,10007,0
24,2658,-10048,12247,3229,-114,-455,-1239,257,1123,1021,10032,0
25,2570,-10005,12319,3158,-137,-468,-1182,238,1303,945,10057,0
26,2472,-9969,12388,3078,-168,-489,-1076,216,1464,873,10046,0
27,2364,-9940,12454,2990,-187,-503,-1016,207,1615,804,10052,0
28,2249,-9916,12517,2893,-208,-517,-959,212,1748,732,10053,0
29,2127,-9898,12577,2788,-230,-534,-900,229,1867,658,9963,0
30,2001,-9884,12633,2672,-252,-563,-795,277,1979,582,10044,0
31,1873,-9877,12684,2546,-268,-569,-733,338,2080,488,10028,0
32,1740,-9876,12730,2412,-291,-570,-664,354,2184,387,9983,0
33,1600,-9883,12768,2275,-309,-564,-588,315,2279,280,10016,0
34,1448,-9897,12799,2138,-314,-531,-422,315,2279,280,10100,0
35,1284,-9919,12821,2006,-320,-507,-329,202,2377,173,9999,0
36,1111,-9946,12836,1877,-325,-477,-237,61,2456,71,10001,0
37,934,-9977,12844,1749,-325,-409,-51,-48,2519,-14,10003,0
38,758,-10010,12847,1619,-327,-381,33,-93,2552,-87,10192,0
39,587,-10043,12846,1485,-329,-355,108,-83,2555,-148,10010,0
40,426,-10077,12841,1346,-332,-323,176,-12,2526,-188,10006,0
41,275,-10109,12834,1202,-305,-260,285,104,2480,-222,9984,0
42,131,-10142,12824,1056,-295,-220,343,219,2423,-246,10041,0
43,11,10173,-12810,-917,-286,-180,392,271,2367,-273,9997,0
44,157,10203,-12794,-788,-264,-136,471,233,2310,-287,10001,0
45,306,10230,-12776,-673,-259,-118,519,101,2257,-287,10000,0
46,458,10254,-12758,-566,-254,-112,562,-38,2201,-279,10002,0
47,608,10275,-12739,-466,-255,-115,607,-136,2147,-255,10132,0
48,751,10292,-12720,-368,-250,-113,712,-187,2089,-229,10016,0
