# GESTURE_START label=3 caster=lucky rep=14 nsamples=101 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1406,5396,15364,-1142,-422,973,-924,-159,-3016,761,10052,0
1,1652,5455,15313,-1204,-398,925,-1082,-163,-2904,972,10057,0
2,1890,5527,15256,-1250,-320,729,-1303,-283,-2757,1152,10048,0
3,2114,5611,15193,-1286,-268,675,-1395,-329,-2566,1290,9965,0
4,2323,5701,15127,-1311,-214,556,-1448,-354,-2352,1387,10049,0
5,2514,5798,15058,-1329,-206,508,-1517,-364,-2137,1453,10050,0
6,2684,5899,14987,-1347,-152,406,-1571,-254,-1903,1496,10000,0
7,2831,6005,14916,-1366,-125,352,-1590,-138,-1676,1522,10003,0
8,2958,6115,14845,-1387,-98,304,-1612,-138,-1676,1522,10093,0
9,3064,6229,14774,-1410,-60,202,-1648,-35,-1461,1540,10000,0
10,3149,6346,14703,-1437,-19,149,-1658,98,-1250,1550,10003,0
11,3213,6466,14634,-1465,22,101,-1661,232,-1037,1557,10000,0
12,3257,6587,14568,-1488,50,58,-1661,334,-816,1555,10200,0
13,3284,6706,14506,-1500,66,-23,-1640,381,-587,1540,9996,0
14,3294,6824,14449,-1499,52,-60,-1622,339,-348,1520,10010,0
15,3287,6940,14396,-1488,42,-100,-1597,276,-110,1489,10008,0
16,3262,7054,14348,-1469,32,-144,-1573,239,125,1453,10022,0
17,3217,7168,14304,-1448,25,-205,-1495,250,356,1414,9998,0
18,3153,7279,14265,-1426,15,-220,-1447,318,571,1367,10016,0
19,3071,7387,14230,-1394,-2,-223,-1394,389,793,1309,10026,0
20,2974,7490,14201,-1351,-40,-230,-1254,382,1016,1250,9971,0
21,2862,7590,14176,-1297,-79,-237,-1170,326,1235,1191,10117,0
22,2724,7685,14158,-1226,-119,-250,-1081,276,1447,1142,10007,0
23,2573,7776,14143,-1152,-159,-267,-992,235,1814,1054,9993,0
24,2409,7865,14128,-1079,-207,-288,-833,270,1959,1009,10029,0
25,2232,7950,14115,-1007,-230,-293,-740,348,2084,960,10057,0
26,2046,8030,14103,-934,-238,-290,-652,419,2204,906,10026,0
27,1853,8104,14092,-853,-263,-297,-467,442,2305,847,10034,0
28,1655,8173,14082,-766,-285,-305,-368,409,2407,795,10000,0
29,1454,8236,14072,-673,-298,-320,-267,362,2495,739,10043,0
30,1252,8293,14063,-574,-315,-330,-167,309,2558,684,10072,0
31,1051,8342,14054,-470,-312,-336,21,257,2597,620,9982,0
32,851,8384,14046,-363,-318,-329,112,195,2617,550,10011,0
33,653,8419,14038,-255,-316,-314,206,142,2623,479,10096,0
34,459,8448,14030,-150,-307,-250,392,124,2601,409,10007,0
35,269,8473,14021,-47,-301,-219,476,128,2557,351,10002,0
36,85,8493,14010,50,-308,-206,551,131,2491,305,10020,0
37,94,-8510,-14000,-138,-307,-198,615,144,2398,275,10096,0
38,265,-8523,-13988,-217,-254,-192,728,196,2292,245,10000,0
39,424,-8532,-13978,-291,-235,-178,763,245,2163,204,10000,0
40,569,-8537,-13968,-366,-225,-165,798,220,2021,163,10050,0
41,701,-8539,-13959,-439,-228,-152,819,134,1883,116,9994,0
42,823,-8538,-13950,-508,-200,-131,862,67,1748,76,10084,0
43,937,-8535,-13943,-566,-193,-117,885,58,1614,46,9986,0
44,1044,-8529,-13936,-614,-191,-103,911,116,1481,21,10026,0
45,1142,-8523,-13931,-655,-173,-79,964,171,1349,-3,9986,0
46,1228,-8515,-13926,-693,-166,-75,977,184,1214,-23,10135,0
47,1302,-8506,-13923,-725,-169,-70,978,149,1077,-39,9984,0
48,1368,-8497,-13921,-751,-173,-68,971,137,934,-57,10012,0
49,1426,-8487,-13921,-767,-174,-61,968,147,801,-67,9988,0
50,1478,-8475,-13922,-776,-183,-45,982,194,678,-85,10045,0
51,1521,-8463,-13924,-783,-188,-27,1006,238,566,-100,10088,0
52,1553,-8452,-13927,-791,-208,7,1056,208,468,-115,10000,0
53,1575,-8442,-13930,-801,-210,9,1083,127,368,-119,10002,0
54,1586,-8433,-13934,-810,-215,15,1115,41,271,-119,10095,0
55,1587,-8426,-13937,-815,-225,16,1144,-11,164,-107,10020,0
56,1579,-8421,-13942,-814,-241,5,1195,-42,41,-92,10000,0
57,1565,-8417,-13947,-799,-250,1,1230,-18,-85,-79,9984,0
58,1565,-8417,-13947,-799,-259,-3,1270,68,-229,-65,10136,0
59,1542,-8413,-13953,-772,-277,-4,1306,135,-386,-58,10000,0
60,1509,-8410,-13961,-735,-311,0,1383,177,-551,-54,10002,0
61,1464,-8407,-13969,-690,-317,0,1411,186,-724,-53,10000,0
62,1403,-8405,-13979,-638,-323,0,1439,153,-913,-51,10113,0
63,1327,-8404,-13990,-580,-348,-2,1468,130,-1113,-54,9996,0
64,1234,-8402,-14002,-511,-340,2,1472,132,-1324,-57,10008,0
65,1126,-8401,-14014,-433,-323,12,1465,140,-1545,-61,9975,0
66,1002,-8399,-14028,-344,-309,13,1457,152,-1766,-63,10115,0
67,862,-8397,-14040,-244,-319,-8,1416,157,-1982,-62,10031,0
68,705,-8394,-14052,-136,-327,-15,1394,148,-2208,-56,9988,0
69,530,-8390,-14062,-21,-330,-31,1345,108,-2416,-55,10012,0
70,333,-8385,-14071,94,-376,-63,1160,-26,-2637,-61,10129,0
71,112,-8377,-14078,207,-410,-54,1044,-185,-2862,-80,9995,0
72,127,8365,14083,-324,-431,-18,895,-247,-3074,-109,10021,0
73,383,8347,14086,-450,-469,68,702,-262,-3288,-147,9979,0
74,657,8323,14085,-581,-657,291,190,-318,-3502,-177,10005,0
75,950,8296,14078,-711,-641,348,-139,-441,-3696,-169,10099,0
76,1265,8268,14064,-828,-687,386,-491,-689,-3835,-121,10000,0
77,1594,8238,14041,-932,-692,355,-1114,-909,-3916,-55,10000,0
78,1924,8211,14009,-1037,-580,323,-1356,-882,-3928,10,10032,0
79,2233,8187,13967,-1159,-517,324,-1547,-582,-3839,62,10087,0
