# GESTURE_START label=3 caster=lucky rep=10 nsamples=90 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,3023,-10289,12232,1949,95,84,-1787,189,-894,1547,10000,0
1,3040,-10180,12314,1984,117,0,-1799,212,-644,1580,10000,0
2,3039,-10073,12398,2004,113,-62,-1798,165,-375,1591,10003,0
3,3023,-9970,12485,2005,96,-121,-1783,167,-102,1579,10195,0
4,2994,-9869,12575,1984,70,-208,-1734,228,172,1547,10039,0
5,2950,-9773,12666,1946,50,-248,-1695,316,448,1511,9972,0
6,2885,-9684,12757,1894,30,-290,-1639,365,721,1464,10029,0
7,2797,-9602,12847,1835,-12,-377,-1512,327,996,1408,9926,0
8,2683,-9530,12934,1773,-47,-417,-1432,209,1273,1347,10080,0
9,2545,-9467,13017,1706,-93,-450,-1352,52,1534,1268,10022,0
10,2389,-9412,13095,1632,-127,-487,-1261,-94,1781,1182,9971,0
11,2221,-9364,13169,1546,-192,-493,-1055,-168,2000,1084,10005,0
12,2044,-9323,13238,1447,-239,-486,-941,-155,2192,980,10111,0
13,1861,-9288,13301,1337,-270,-466,-829,-113,2361,869,10035,0
14,1672,-9258,13358,1217,-318,-413,-640,-57,2490,769,10000,0
15,1477,-9232,13410,1090,-349,-391,-536,-23,2608,679,10004,0
16,1273,-9210,13456,959,-376,-369,-432,-6,2714,600,10088,0
17,1060,-9190,13497,829,-405,-348,-320,-31,2810,534,10000,0
18,837,-9173,13532,702,-418,-319,-97,-100,2897,476,10002,0
19,606,-9157,13561,580,-435,-301,13,-207,2965,427,9999,0
20,370,-9141,13584,461,-456,-288,123,-303,3003,385,10116,0
21,134,-9125,13602,346,-460,-258,332,-373,3022,347,10012,0
22,99,9109,-13616,-231,-465,-239,436,-406,3013,314,9998,0
23,325,9092,-13625,-117,-475,-228,540,-392,2972,285,10002,0
24,544,9074,-13631,-5,-485,-231,629,-357,2905,269,10121,0
25,753,9055,-13634,104,-450,-251,792,-333,2815,257,10025,0
26,948,9035,-13633,210,-438,-268,863,-294,2701,245,9998,0
27,1128,9017,-13629,315,-416,-272,924,-234,2563,227,9978,0
28,1292,9001,-13623,417,-396,-274,974,-147,2404,194,10110,0
29,1441,8989,-13613,513,-345,-263,1069,-75,2230,153,10023,0
30,1576,8980,-13600,601,-336,-248,1108,-35,2055,99,9977,0
31,1697,8974,-13585,681,-328,-237,1138,-16,1872,45,10000,0
32,1802,8972,-13569,753,-308,-208,1201,-3,1684,-6,10018,0
33,1890,8975,-13551,821,-302,-189,1224,30,1492,-53,10107,0
34,1961,8981,-13533,883,-294,-169,1246,104,1290,-96,10022,0
35,2016,8990,-13516,936,-292,-149,1266,165,1087,-132,9980,0
36,2055,9002,-13499,981,-291,-108,1274,188,882,-158,10008,0
37,2080,9016,-13483,1015,-293,-85,1268,200,672,-183,10109,0
38,2091,9031,-13469,1040,-299,-71,1263,197,472,-197,10008,0
39,2087,9047,-13458,1057,-287,-64,1236,198,271,-198,9980,0
40,2068,9064,-13449,1067,-278,-67,1217,221,75,-198,10029,0
41,2037,9082,-13441,1069,-270,-72,1201,243,-112,-193,10118,0
42,1994,9101,-13435,1063,-261,-82,1184,255,-287,-193,9970,0
43,1940,9122,-13430,1048,-249,-88,1157,251,-453,-197,10009,0
44,1878,9144,-13426,1023,-243,-80,1149,236,-613,-210,10020,0
45,1809,9168,-13422,985,-239,-67,1140,189,-761,-225,10105,0
46,1734,9192,-13419,936,-241,-53,1134,124,-906,-245,10012,0
47,1650,9217,-13416,876,-266,-20,1102,61,-1046,-263,10000,0
48,1559,9243,-13414,803,-274,-13,1081,-5,-1195,-273,9981,0
49,1559,9243,-13414,803,-280,-6,1054,-60,-1348,-286,10120,0
50,1459,9269,-13412,720,-322,6,987,-103,-1501,-292,9996,0
51,1348,9295,-13410,630,-329,12,959,-105,-1652,-300,10019,0
52,1225,9322,-13407,533,-323,26,940,-81,-1806,-310,10010,0
53,1089,9350,-13403,433,-321,61,900,-22,-1958,-318,10043,0
54,938,9376,-13399,331,-379,109,800,50,-2108,-311,10032,0
55,775,9400,-13395,220,-383,125,720,43,-2270,-286,10013,0
56,605,9420,-13391,97,-379,134,620,-23,-2422,-248,9997,0
57,432,9434,-13388,-42,-400,126,396,-157,-2566,-203,10055,0
58,257,9443,-13385,-197,-382,103,281,-292,-2684,-165,10095,0
59,77,9448,-13380,-360,-363,92,159,-342,-2779,-133,9986,0
60,112,-9450,13374,521,-341,90,38,-260,-2851,-113,10017,0
61,311,-9447,13365,673,-326,107,-214,-108,-2904,-93,10088,0
62,518,-9441,13355,819,-305,114,-331,-7,-2927,-79,10010,0
63,725,-9432,13343,963,-282,134,-440,15,-2913,-59,10012,0
64,920,-9419,13328,1112,-257,151,-540,-107,-2856,-39,9970,0
65,1098,-9405,13310,1274,-186,140,-712,-351,-2770,-22,10121,0
66,1250,-9392,13287,1454,-175,113,-771,-693,-2649,-15,10044,0
67,1375,-9379,13261,1649,-165,89,-818,-1016,-2501,-10,9983,0
68,1484,-9367,13232,1845,-118,51,-874,-1135,-2359,-24,10025,0
69,1589,-9356,13201,2030,-106,59,-912,-1054,-2244,-43,9975,0
