# GESTURE_START label=3 caster=lucky rep=5 nsamples=61 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,4360,2631,-15537,1045,-195,94,632,197,-1443,4,10006,0
1,4229,2639,-15574,1023,-218,109,549,82,-1529,11,10116,0
2,4093,2648,-15610,1004,-233,127,532,-8,-1596,10,10023,0
3,3953,2658,-15645,996,-242,140,520,48,-1638,11,10000,0
4,3809,2667,-15679,992,-254,149,517,171,-1664,28,9978,0
5,3661,2672,-15714,986,-285,146,489,232,-1703,57,10113,0
6,3507,2673,-15750,970,-291,140,453,205,-1751,93,10003,0
7,3349,2670,-15786,942,-294,134,402,84,-1826,123,10022,0
8,3185,2664,-15823,911,-306,126,342,-44,-1901,145,9997,0
9,3019,2658,-15858,881,-340,123,194,-78,-1960,160,10098,0
10,2852,2649,-15892,849,-341,121,142,-52,-1991,175,10018,0
11,2688,2636,-15925,818,-343,103,114,-81,-1991,199,9981,0
12,2526,2619,-15955,791,-345,6,67,-88,-1961,242,10054,0
13,2368,2597,-15985,759,-334,-37,51,-50,-1915,296,10084,0
14,2214,2573,-16013,710,-320,-74,35,-128,-1877,328,9995,0
15,2064,2550,-16039,649,-303,-94,25,-330,-1856,322,10007,0
16,1917,2530,-16063,588,-312,-66,16,-465,-1834,290,10103,0
17,1772,2514,-16084,532,-297,-45,30,-465,-1801,244,10038,0
18,1628,2498,-16103,482,-292,-33,61,-406,-1771,209,9978,0
19,1486,2481,-16121,434,-297,-57,115,-341,-1736,198,9996,0
20,1342,2462,-16138,385,-285,-104,119,-315,-1718,216,10043,0
21,1197,2442,-16153,327,-265,-145,108,-327,-1729,244,10085,0
22,1049,2425,-16168,254,-244,-164,94,-430,-1766,242,10015,0
23,897,2414,-16179,177,-251,-79,49,-595,-1820,191,9971,0
24,738,2409,-16189,112,-254,-37,37,-633,-1874,115,10119,0
25,572,2408,-16196,75,-244,7,29,-475,-1926,46,10020,0
26,399,2408,-16201,69,-264,87,-38,-141,-1961,16,10017,0
27,220,2403,-16205,74,-267,89,-93,224,-1995,22,9983,0
28,220,2403,-16205,74,-247,57,-161,361,-2036,67,10113,0
29,39,2392,-16208,78,-213,3,-237,346,-2063,145,10002,0
30,142,-2374,16210,-78,-176,-96,-388,309,-2069,215,10000,0
31,321,-2353,16211,-65,-142,-126,-457,154,-2064,249,10010,0
32,496,-2333,16209,-38,-121,-128,-526,-17,-2047,243,10108,0
33,667,-2316,16206,-9,-105,-105,-597,-45,-2007,201,9989,0
34,834,-2303,16200,14,-109,-54,-718,22,-1951,150,10023,0
35,997,-2293,16192,28,-97,-45,-768,104,-1886,114,9988,0
36,1153,-2282,16183,29,-86,-22,-819,251,-1792,107,10121,0
37,1301,-2270,16174,23,-52,-24,-900,315,-1691,114,9976,0
38,1439,-2258,16164,20,-19,-44,-933,265,-1581,119,10008,0
39,1565,-2244,16154,20,9,-63,-960,219,-1448,140,10020,0
40,1679,-2230,16144,28,30,-71,-988,105,-1317,145,10118,0
41,1780,-2218,16135,39,63,-91,-987,39,-1180,136,10000,0
42,1867,-2208,16127,54,82,-96,-977,-21,-1027,120,9991,0
43,1940,-2201,16119,73,88,-74,-969,-85,-872,92,10009,0
44,2002,-2196,16112,88,77,0,-910,-74,-728,63,10115,0
45,2051,-2194,16106,107,73,24,-883,-131,-598,33,10006,0
46,2089,-2194,16101,125,78,32,-861,-145,-472,20,9998,0
47,2118,-2191,16097,138,84,33,-848,-102,-356,35,10114,0
48,2138,-2188,16095,150,96,22,-814,-101,-247,56,9997,0
49,2148,-2183,16094,168,106,3,-804,-178,-142,79,10000,0
50,2149,-2177,16095,192,117,-16,-799,-269,-46,104,9991,0
51,2141,-2170,16096,221,120,-30,-788,-323,47,121,10120,0
52,2126,-2163,16099,248,107,-17,-758,-324,134,127,10026,0
53,2103,-2157,16102,277,93,0,-751,-354,215,122,9993,0
54,2074,-2152,16106,306,79,14,-741,-358,294,110,9963,0
55,2038,-2147,16111,331,46,33,-707,-339,373,109,10099,0
56,1996,-2141,16117,351,49,77,-731,-274,455,116,10036,0
57,1948,-2131,16124,344,8,62,-711,18,570,124,9992,0
58,1892,-2120,16132,336,-1,75,-685,24,646,146,10008,0
59,1827,-2109,16141,361,-1,75,-685,-360,715,177,10094,0
60,1754,-2095,16150,382,0,82,-688,-336,815,224,10021,0
# GESTURE_END
