# GESTURE_START label=3 caster=lucky rep=3 nsamples=96 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,3474,10770,11653,-2141,-284,-451,-605,-211,2087,698,9995,0
1,3350,10832,11657,-2000,-287,-436,-524,-76,2184,634,10000,0
2,3214,10891,11663,-1864,-294,-417,-436,52,2257,567,10001,0
3,3070,10946,11671,-1730,-296,-352,-309,126,2307,500,9999,0
4,2920,10996,11681,-1597,-299,-313,-256,154,2339,442,10000,0
5,2767,11042,11692,-1465,-298,-283,-209,176,2366,396,10006,0
6,2611,11086,11703,-1333,-291,-264,-168,208,2381,369,9994,0
7,2451,11126,11713,-1204,-256,-236,-100,250,2391,340,10000,0
8,2288,11163,11723,-1077,-262,-210,-63,285,2396,313,10000,0
9,2121,11198,11732,-952,-265,-176,-36,326,2402,286,10000,0
10,1951,11230,11740,-831,-246,-108,1,385,2400,268,10000,0
11,1775,11261,11746,-714,-246,-75,30,465,2402,266,10001,0
12,1594,11291,11749,-602,-252,-47,59,544,2409,275,9999,0
13,1411,11321,11749,-491,-261,-26,85,566,2419,298,10005,0
14,1231,11350,11746,-373,-236,-14,122,499,2438,322,9995,0
15,1054,11378,11739,-249,-245,-14,129,413,2461,348,10005,0
16,878,11406,11728,-120,-249,-26,141,365,2494,377,10004,0
17,697,11433,11715,8,-256,-33,176,421,2522,403,9992,0
18,508,11460,11698,131,-256,-28,267,518,2543,417,10059,0
19,315,11485,11678,250,-272,-26,315,576,2550,431,10053,0
20,122,11509,11655,370,-285,-30,367,579,2551,440,10049,0
21,67,-11530,-11629,-492,-270,-62,472,529,2539,444,10053,0
22,249,-11550,-11602,-617,-257,-79,525,445,2512,438,10057,0
23,423,-11567,-11572,-746,-247,-97,576,347,2460,430,9955,0
24,585,-11581,-11542,-875,-240,-107,625,245,2387,413,10055,0
25,736,-11593,-11511,-1006,-216,-119,712,143,2298,389,10014,0
26,873,-11602,-11479,-1136,-214,-131,745,42,2187,366,10001,0
27,998,-11610,-11448,-1262,-209,-141,761,42,2187,366,10096,0
28,1114,-11616,-11417,-1382,-184,-158,797,-31,2063,341,10002,0
