# GESTURE_START label=3 caster=lucky rep=6 nsamples=132 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2701,-11354,11393,1552,-216,628,-355,-540,-2532,356,9885,0
1,2816,-11316,11377,1740,-185,657,-439,-535,-2497,411,9864,0
2,2929,-11271,11363,1924,-175,672,-486,-503,-2459,473,9847,0
3,3041,-11221,11352,2104,-163,690,-531,-458,-2418,534,10007,0
4,3152,-11163,11344,2277,-142,711,-599,-398,-2365,609,9994,0
5,3261,-11099,11342,2445,-125,717,-634,-345,-2300,688,10000,0
6,3367,-11028,11344,2607,-106,706,-667,-294,-2237,774,10000,0
7,3471,-10950,11352,2762,-83,698,-705,-234,-2167,869,9999,0
8,3573,-10864,11366,2910,-51,666,-768,-158,-2086,964,10001,0
9,3668,-10771,11386,3052,-38,633,-803,-141,-1997,1059,10004,0
10,3755,-10674,11411,3191,-38,602,-847,-146,-1899,1144,9996,0
11,3837,-10572,11442,3323,-52,529,-925,-108,-1795,1218,10000,0
12,3915,-10463,11478,3445,-40,485,-969,-16,-1701,1292,10000,0
13,3991,-10350,11521,3555,-38,442,-1023,80,-1590,1353,9999,0
14,4061,-10234,11569,3656,-30,389,-1074,136,-1464,1399,10008,0
15,4123,-10117,11620,3749,-7,298,-1156,156,-1321,1431,9993,0
16,4174,-10002,11674,3832,5,257,-1191,162,-1157,1440,10000,0
17,4213,-9890,11732,3904,11,224,-1213,168,-975,1436,10001,0
18,4242,-9781,11792,3966,13,162,-1223,180,-787,1418,10005,0
19,4260,-9677,11854,4016,21,127,-1214,192,-597,1398,10008,0
20,4260,-9582,11922,4042,31,100,-1196,259,-241,1339,9998,0
21,4251,-9492,11992,4057,34,79,-1174,276,-74,1301,10000,0
22,4232,-9408,12063,4064,48,46,-1140,275,84,1259,10000,0
23,4204,-9329,12134,4061,62,31,-1113,279,242,1212,10000,0
24,4169,-9256,12206,4048,72,26,-1081,301,385,1162,10000,0
25,4129,-9187,12279,4025,73,30,-1051,342,521,1117,10000,0
26,4082,-9123,12354,3992,75,68,-989,383,656,1079,10004,0
27,4027,-9062,12429,3951,79,77,-951,392,784,1055,10000,0
28,3964,-9004,12506,3905,81,84,-910,390,904,1042,9996,0
29,3895,-8948,12584,3851,62,110,-841,396,1019,1034,10000,0
30,3818,-8893,12665,3793,49,114,-801,406,1125,1039,10000,0
31,3733,-8839,12746,3729,33,113,-760,401,1227,1048,10001,0
32,3642,-8786,12829,3662,13,109,-717,388,1321,1063,10007,0
33,3541,-8732,12913,3593,-13,88,-639,350,1417,1083,9992,0
34,3432,-8679,12997,3523,-36,61,-584,320,1499,1105,10000,0
35,3317,-8625,13082,3450,-61,23,-531,301,1567,1125,10000,0
36,3199,-8571,13166,3375,-98,-69,-444,305,1620,1130,10001,0
37,3078,-8516,13250,3295,-114,-122,-394,337,1659,1121,9999,0
38,2958,-8463,13332,3212,-122,-175,-349,359,1681,1084,10000,0
39,2838,-8413,13410,3126,-127,-219,-309,371,1695,1026,10000,0
40,2719,-8368,13483,3036,-129,-284,-241,400,1706,947,10009,0
41,2603,-8328,13552,2942,-131,-313,-207,430,1702,859,10007,0
42,2490,-8293,13615,2844,-130,-332,-174,470,1694,756,10063,0
43,2381,-8264,13673,2743,-130,-331,-153,503,1688,652,10042,0
44,2274,-8242,13725,2640,-130,-317,-119,505,1682,554,10054,0
45,2166,-8226,13771,2537,-119,-308,-102,488,1686,462,10050,0
46,2058,-8215,13813,2434,-116,-291,-82,457,1691,377,9963,0
47,1948,-8210,13849,2334,-100,-239,-51,410,1698,299,10060,0
48,1836,-8210,13880,2235,-92,-204,-28,370,1706,237,10034,0
49,1723,-8213,13909,2137,-98,-174,1,344,1716,189,9999,0
50,1608,-8217,13934,2041,-95,-144,40,306,1722,156,10000,0
51,1493,-8223,13957,1947,-77,-107,116,306,1722,156,10098,0
52,1378,-8229,13978,1855,-71,-84,152,280,1715,136,10000,0
53,1264,-8233,13998,1764,-69,-65,196,269,1699,128,10000,0
54,1153,-8235,14017,1674,-43,-41,266,260,1674,132,10000,0
55,1044,-8235,14036,1588,-41,-44,295,257,1635,147,10197,0
56,938,-8233,14054,1507,-32,-58,324,243,1591,166,10008,0
57,833,-8230,14070,1431,-17,-74,348,209,1538,187,10033,0
58,731,-8226,14085,1360,4,-106,383,165,1487,188,9963,0
59,633,-8222,14098,1292,13,-110,395,129,1428,184,9969,0
60,542,-8220,14110,1224,18,-119,413,124,1370,169,10065,0
61,459,-8218,14120,1154,34,-104,445,156,1306,148,10007,0
62,383,-8216,14128,1084,41,-102,456,218,1234,124,9992,0
63,316,-8215,14136,1011,46,-97,463,271,1164,104,10117,0
64,257,-8215,14142,937,43,-83,470,336,1091,79,10001,0
65,204,-8216,14148,863,71,-59,487,403,1022,64,10000,0
66,155,-8216,14152,793,72,-51,492,438,958,49,10018,0
67,107,-8217,14155,729,75,-44,491,413,896,37,10014,0
68,62,-8218,14158,672,77,-42,491,364,843,28,10111,0
69,17,-8219,14160,620,82,-41,485,306,790,23,10030,0
70,24,8220,-14161,-572,79,-33,482,261,741,20,9971,0
71,64,8222,-14161,-529,75,-30,485,239,694,14,10097,0
72,102,8224,-14161,-491,79,-24,481,198,649,8,10020,0
73,138,8226,-14161,-457,67,-16,475,157,603,2,9980,0
74,170,8227,-14161,-424,68,-7,476,131,555,0,10000,0
75,198,8228,-14161,-392,72,-1,485,145,510,1,10113,0
76,223,8228,-14162,-361,71,0,500,166,470,7,10011,0
77,245,8227,-14163,-332,70,-3,508,164,426,17,10000,0
78,264,8225,-14164,-306,73,-14,523,154,386,28,10013,0
79,280,8222,-14166,-281,74,-29,560,150,345,37,10011,0
80,293,8220,-14167,-258,71,-33,582,155,302,39,10082,0
81,303,8218,-14169,-240,63,-37,608,153,258,38,10004,0
82,309,8216,-14170,-227,55,-42,633,126,202,36,10048,0
83,312,8213,-14172,-218,54,-62,672,94,142,35,9949,0
84,309,8210,-14174,-213,46,-78,688,76,76,37,10148,0
85,298,8207,-14176,-210,38,-96,702,68,-3,40,9955,0
86,281,8205,-14177,-212,37,-118,713,81,-92,39,10035,0
87,256,8203,-14178,-220,28,-161,730,84,-188,33,9988,0
88,226,8205,-14178,-235,32,-182,733,64,-290,13,10137,0
89,188,8209,-14175,-258,38,-193,729,27,-390,-22,9983,0
