# GESTURE_START label=3 caster=lucky rep=11 nsamples=92 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2362,-10708,12081,1500,-113,574,-1066,-394,-2426,1134,9999,0
1,2482,-10615,12117,1665,-61,536,-1172,-310,-2310,1214,10001,0
2,2594,-10515,12158,1818,-26,506,-1279,-240,-2157,1293,9999,0
3,2695,-10411,12204,1961,9,461,-1364,-229,-1977,1360,10000,0
4,2782,-10304,12253,2096,19,407,-1506,-250,-1785,1419,10000,0
5,2853,-10196,12305,2223,45,267,-1547,-293,-1605,1462,10001,0
6,2917,-10084,12361,2334,48,262,-1633,-190,-1404,1492,10000,0
7,2975,-9970,12423,2420,79,178,-1705,-8,-1182,1517,10004,0
8,3025,-9854,12490,2485,96,125,-1742,142,-959,1543,9996,0
9,3066,-9737,12563,2530,121,71,-1772,268,-720,1562,9999,0
10,3094,-9620,12640,2556,123,13,-1788,347,-464,1575,10001,0
11,3104,-9506,12722,2566,106,-102,-1810,378,-185,1571,10000,0
12,3094,-9397,12806,2562,100,-166,-1802,351,102,1552,10000,0
13,3063,-9295,12892,2544,85,-232,-1783,336,400,1516,10000,0
14,3011,-9199,12979,2511,70,-297,-1744,336,703,1461,9999,0
15,2940,-9112,13065,2462,33,-388,-1627,315,996,1380,10001,0
16,2847,-9036,13149,2403,-5,-424,-1548,248,1284,1283,10005,0
17,2731,-8971,13230,2335,-41,-441,-1455,162,1558,1171,10007,0
18,2594,-8918,13306,2261,-124,-435,-1270,55,1814,1060,10001,0
19,2436,-8876,13378,2181,-162,-427,-1165,-53,2039,957,10001,0
20,2262,-8841,13445,2096,-196,-413,-1056,-126,2240,863,9997,0
21,2077,-8813,13507,2003,-247,-392,-947,-136,2400,786,10045,0
22,1884,-8789,13566,1900,-290,-361,-731,-95,2531,720,10058,0
23,1686,-8767,13621,1786,-316,-342,-616,-38,2638,665,10044,0
24,1483,-8747,13673,1667,-345,-328,-499,-27,2729,621,10055,0
25,1273,-8729,13720,1547,-361,-309,-289,-54,2794,583,10048,0
26,1060,-8712,13762,1424,-374,-306,-183,-65,2836,552,9962,0
27,847,-8694,13800,1299,-389,-303,-82,-43,2856,521,10053,0
28,635,-8677,13834,1170,-402,-295,18,-6,2851,488,10045,0
29,426,-8661,13862,1042,-378,-288,203,7,2831,453,9972,0
30,219,-8645,13886,916,-376,-290,291,7,2831,453,10096,0
31,15,-8629,13905,795,-381,-289,376,-16,2788,417,10001,0
32,183,8614,-13919,-677,-383,-287,449,-40,2727,380,9999,0
33,373,8601,-13929,-562,-359,-281,598,-40,2649,341,10005,0
34,553,8588,-13934,-449,-366,-267,668,-19,2562,298,10194,0
35,724,8577,-13937,-339,-366,-258,737,17,2453,257,9999,0
36,884,8567,-13936,-234,-328,-259,854,41,2338,217,10011,0
37,1031,8559,-13932,-133,-322,-264,900,60,2204,183,10005,0
38,1166,8553,-13925,-35,-303,-271,944,96,2064,146,10038,0
39,1286,8550,-13917,60,-290,-274,975,146,1918,103,10000,0
40,1394,8551,-13905,150,-247,-273,1043,199,1763,56,10016,0
41,1489,8555,-13891,234,-247,-265,1073,236,1608,3,9973,0
42,1573,8564,-13875,312,-251,-255,1107,255,1458,-53,9995,0
43,1645,8576,-13857,383,-244,-208,1183,272,1304,-112,10113,0
44,1706,8592,-13838,445,-256,-171,1211,273,1152,-167,10036,0
45,1756,8610,-13819,495,-260,-145,1239,259,988,-213,9968,0
46,1796,8629,-13801,532,-263,-129,1256,211,810,-246,10000,0
47,1823,8648,-13785,558,-271,-95,1281,153,629,-262,10117,0
48,1838,8667,-13770,575,-265,-87,1283,117,441,-261,10007,0
49,1838,8685,-13758,582,-259,-82,1282,102,252,-256,10001,0
50,1824,8703,-13749,582,-263,-74,1276,97,54,-243,9999,0
51,1796,8720,-13742,573,-254,-84,1267,117,-135,-226,10037,0
52,1758,8737,-13737,554,-250,-96,1254,104,-318,-209,10101,0
53,1708,8754,-13733,523,-245,-104,1248,71,-494,-201,9977,0
54,1648,8773,-13730,483,-246,-112,1233,38,-670,-208,10003,0
55,1577,8793,-13727,432,-242,-101,1229,6,-839,-224,10124,0
56,1499,8815,-13724,366,-244,-95,1223,-30,-999,-251,10000,0
57,1412,8839,-13720,286,-250,-88,1217,-124,-1168,-283,10013,0
58,1312,8863,-13716,195,-278,-76,1185,-209,-1341,-312,10001,0
59,1198,8889,-13710,95,-302,-69,1165,-236,-1534,-339,10096,0
60,1067,8916,-13704,-10,-321,-54,1135,-222,-1727,-360,10000,0
61,920,8943,-13697,-123,-360,-26,1025,-175,-1926,-378,10022,0
62,761,8969,-13688,-249,-362,-25,946,-149,-2127,-390,9977,0
63,593,8993,-13677,-392,-368,-26,847,-197,-2326,-399,10120,0
64,418,9016,-13663,-549,-369,-24,739,-308,-2515,-408,10047,0
65,234,9038,-13645,-715,-390,2,507,-398,-2675,-424,9960,0
66,41,9058,-13623,-885,-394,18,394,-426,-2815,-444,10009,0
67,158,-9077,13598,1057,-379,32,289,-410,-2926,-463,10097,0
68,361,-9093,13568,1232,-379,100,62,-402,-3004,-471,10028,0
69,564,-9107,13534,1412,-355,112,-53,-407,-3057,-482,10000,0
70,766,-9118,13497,1595,-337,103,-182,-450,-3096,-482,9980,0
71,969,-9124,13457,1775,-292,92,-319,-486,-3111,-466,10025,0
72,1171,-9127,13415,1951,-246,81,-596,-453,-3103,-443,10113,0
73,1367,-9128,13369,2125,-211,91,-751,-434,-3073,-432,9980,0
74,1559,-9130,13319,2291,-179,134,-904,-439,-3017,-440,10020,0
75,1744,-9133,13266,2449,-143,176,-1062,-415,-2932,-467,10000,0
76,1914,-9137,13211,2599,-87,238,-1321,-378,-2802,-491,10117,0
77,2068,-9142,13156,2739,-67,261,-1427,-405,-2623,-499,9976,0
78,2207,-9146,13104,2863,-37,273,-1506,-416,-2401,-493,10004,0
79,2331,-9150,13056,2969,-7,263,-1588,-366,-2156,-467,10037,0
80,2331,-9150,13056,2969,3,231,-1609,-288,-1901,-421,10097,0
81,2438,-9152,13014,3063,18,192,-1627,-260,-1650,-360,10012,0
82,2527,-9152,12977,3145,35,153,-1638,-267,-1414,-298,9963,0
83,2601,-9152,12945,3215,53,47,-1623,-228,-1191,-249,9996,0
84,2667,-9151,12919,3268,86,-17,-1604,-114,-986,-207,10144,0
85,2720,-9150,12898,3309,118,-59,-1619,-78,-798,-169,9990,0
86,2769,-9149,12882,3332,160,-186,-1586,72,-617,-162,9992,0
87,2810,-9150,12871,3339,137,-214,-1507,169,-443,-161,9993,0
88,2846,-9153,12864,3329,130,-146,-1525,309,-269,-179,10142,0
89,2886,-9157,12863,3288,201,-249,-1494,618,-89,-216,9989,0
90,2917,-9163,12865,3234,215,-312,-1436,685,85,-225,10000,0
91,2929,-9176,12867,3178,208,-326,-1404,556,293,-251,10011,0
# GESTURE_END
