# GESTURE_START label=5 caster=lucky rep=23 nsamples=45 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,546,14562,-7449,-770,-288,287,134,-516,-803,21,10053,0
1,556,14555,-7453,-855,-278,286,108,-539,-828,56,10073,0
2,556,14546,-7461,-937,-246,280,74,-432,-853,88,9968,0
3,543,14536,-7471,-1015,-224,300,67,-282,-878,114,9988,0
4,517,14525,-7483,-1088,-222,329,46,-108,-894,137,10044,0
5,480,14513,-7498,-1157,-239,398,-4,28,-919,167,10106,0
6,438,14500,-7517,-1225,-228,417,-48,79,-938,206,10008,0
7,396,14483,-7540,-1295,-210,432,-85,74,-957,261,10022,0
8,355,14463,-7567,-1365,-194,453,-127,56,-962,324,9977,0
9,316,14441,-7599,-1436,-177,488,-208,51,-964,395,10110,0
10,280,14414,-7636,-1507,-158,501,-240,19,-947,470,10025,0
11,247,14384,-7680,-1575,-136,513,-273,-5,-914,554,9985,0
12,218,14351,-7730,-1641,-138,538,-319,-12,-869,641,10000,0
13,192,14314,-7786,-1703,-138,548,-339,-17,-819,731,10116,0
14,168,14272,-7849,-1760,-126,546,-354,1,-768,830,9994,0
15,144,14227,-7921,-1812,-121,542,-370,40,-715,938,10006,0
16,119,14176,-8001,-1857,-145,545,-387,98,-674,1052,10019,0
17,92,14120,-8090,-1897,-139,523,-400,155,-628,1168,10098,0
18,66,14059,-8189,-1932,-122,487,-414,188,-583,1297,10042,0
19,41,13991,-8296,-1962,-120,428,-431,212,-541,1419,9993,0
20,20,13919,-8411,-1989,-113,391,-443,209,-499,1527,9976,0
21,5,13842,-8531,-2016,-113,361,-454,159,-457,1619,10108,0
22,1,-13760,8656,2042,-109,333,-465,75,-407,1697,10042,0
23,3,13675,-8783,-2069,-93,293,-466,-22,-355,1760,10000,0
24,17,13588,-8912,-2094,-86,273,-460,-102,-289,1810,9976,0
25,38,13497,-9043,-2117,-91,265,-449,-154,-226,1854,10101,0
26,65,13404,-9176,-2139,-105,252,-441,-198,-172,1900,10003,0
27,99,13307,-9311,-2159,-95,218,-407,-249,-121,1952,10017,0
28,140,13207,-9447,-2177,-88,193,-395,-302,-67,2000,9993,0
29,187,13103,-9586,-2195,-88,193,-395,-356,-27,2050,10122,0
30,239,12996,-9725,-2212,-80,161,-377,-396,10,2094,9960,0
31,294,12886,-9866,-2227,-68,103,-348,-400,45,2135,10013,0
32,350,12773,-10008,-2238,-70,76,-338,-389,82,2164,10041,0
33,407,12657,-10150,-2246,-85,41,-327,-380,108,2189,10036,0
34,464,12538,-10293,-2252,-89,12,-311,-361,128,2206,10057,0
35,522,12418,-10434,-2257,-85,-46,-279,-361,147,2212,9826,0
36,583,12296,-10573,-2261,-94,-77,-270,-379,163,2216,10172,0
37,646,12173,-10711,-2265,-100,-110,-265,-410,176,2211,10043,0
38,712,12048,-10845,-2271,-105,-170,-259,-457,196,2200,10040,0
39,784,11923,-10976,-2278,-110,-207,-253,-520,216,2179,10030,0
40,860,11799,-11102,-2287,-109,-235,-245,-567,246,2140,10052,0
41,937,11675,-11224,-2295,-117,-259,-229,-584,266,2108,10043,0
42,1015,11552,-11343,-2301,-136,-285,-193,-584,288,2069,9926,0
43,1093,11430,-11458,-2306,-151,-309,-170,-573,304,2037,10046,0
44,1170,11309,-11569,-2308,-166,-329,-144,-554,318,2005,9948,0
# GESTURE_END
