# GESTURE_START label=5 caster=lucky rep=8 nsamples=80 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1954,9467,12970,2601,-83,-41,0,1036,135,-152,9999,0
1,1901,9467,12990,2541,-91,-35,-2,950,108,-113,10000,0
2,1869,9467,13002,2506,-87,-44,-29,554,74,-69,9999,0
3,1869,9464,13003,2510,-83,-96,-77,-41,39,-34,10000,0
4,1886,9459,12998,2539,-89,-189,-136,-390,35,1,10000,0
5,1910,9454,12991,2581,-113,-181,-94,-570,58,11,10000,0
6,1921,9449,12986,2614,-81,-270,-152,-397,127,14,10015,0
7,1903,9446,12989,2622,-96,-361,-123,52,220,-10,9986,0
8,1870,9440,12999,2615,-95,-397,-97,299,282,-60,9999,0
9,1826,9433,13015,2597,-111,-436,-109,479,318,-113,10000,0
10,1782,9420,13033,2579,-80,-532,-145,464,330,-188,10001,0
11,1747,9397,13056,2574,-82,-542,-133,297,360,-295,9999,0
12,1716,9365,13082,2578,-95,-520,-108,174,402,-419,10000,0
13,1695,9322,13112,2595,-104,-478,-68,-20,419,-532,10000,0
14,1692,9271,13142,2632,-108,-367,33,-321,404,-618,10004,0
15,1706,9213,13169,2688,-117,-322,89,-632,372,-676,9997,0
16,1732,9152,13195,2750,-116,-287,134,-766,307,-702,9999,0
17,1760,9093,13221,2805,-110,-259,158,-720,240,-711,10000,0
18,1786,9036,13248,2845,-98,-222,187,-555,164,-705,10008,0
19,1803,8983,13277,2863,-95,-225,190,-278,97,-689,10014,0
20,1810,8936,13310,2857,-95,-220,191,18,29,-669,9999,0
21,1806,8894,13345,2824,-82,-253,170,348,-34,-656,10008,0
22,1801,8854,13382,2781,-81,-272,156,464,-100,-648,10049,0
23,1807,8814,13415,2743,-88,-292,150,330,-171,-642,10080,0
24,1823,8774,13445,2712,-97,-319,132,199,-232,-641,10052,0
25,1850,8732,13473,2689,-117,-390,95,50,-277,-652,10020,0
26,1883,8688,13501,2670,-127,-437,81,-17,-310,-674,9961,0
27,1917,8642,13530,2649,-139,-486,64,-18,-328,-706,10037,0
28,1946,8593,13563,2618,-128,-576,29,104,-329,-763,10067,0
29,1971,8539,13601,2578,-136,-600,12,238,-327,-850,9999,0
30,1994,8478,13645,2533,-136,-611,-5,280,-326,-958,10000,0
31,2019,8407,13693,2485,-129,-600,-23,280,-326,-958,10095,0
32,2044,8328,13747,2435,-142,-566,-68,304,-329,-1078,10001,0
33,2070,8240,13804,2385,-154,-541,-72,312,-326,-1197,10000,0
34,2094,8145,13866,2333,-157,-514,-90,300,-306,-1308,10006,0
35,2116,8042,13931,2283,-157,-484,-98,336,-279,-1406,10194,0
36,2141,7931,13998,2240,-186,-443,-102,319,-243,-1493,10000,0
37,2165,7814,14066,2200,-192,-431,-105,225,-210,-1569,10012,0
38,2186,7692,14136,2161,-188,-423,-118,183,-173,-1631,10044,0
39,2208,7564,14206,2129,-219,-420,-140,196,-131,-1687,9958,0
40,2233,7429,14277,2107,-216,-419,-140,105,-90,-1745,10030,0
41,2258,7288,14348,2091,-219,-417,-143,-13,-52,-1802,10021,0
42,2285,7139,14419,2081,-223,-412,-138,-88,-16,-1859,9983,0
43,2313,6982,14492,2077,-245,-380,-139,-172,16,-1932,9997,0
44,2343,6819,14565,2074,-256,-357,-139,-245,37,-2008,10113,0
45,2370,6650,14640,2069,-260,-340,-146,-274,44,-2078,10008,0
46,2395,6476,14715,2058,-271,-303,-158,-244,60,-2142,10017,0
47,2416,6298,14791,2039,-280,-282,-157,-183,71,-2202,10001,0
48,2432,6117,14868,2009,-286,-242,-168,-93,84,-2258,10000,0
49,2443,5933,14946,1970,-290,-197,-183,43,94,-2304,10117,0
50,2453,5746,15023,1928,-279,-91,-231,158,103,-2351,10030,0
51,2465,5555,15097,1892,-274,-44,-257,187,106,-2386,9942,0
52,2480,5360,15168,1870,-259,-3,-283,98,118,-2405,10011,0
53,2496,5162,15234,1863,-247,39,-307,-62,140,-2410,10134,0
54,2513,4960,15297,1877,-237,121,-321,-249,184,-2404,9984,0
55,2526,4757,15356,1903,-232,161,-313,-490,240,-2397,9994,0
56,2527,4558,15414,1919,-230,191,-300,-603,320,-2371,9993,0
57,2514,4366,15472,1913,-221,209,-257,-451,411,-2325,10126,0
58,2488,4183,15531,1881,-213,220,-243,-161,488,-2265,10001,0
59,2451,4008,15589,1826,-202,225,-238,181,540,-2198,10048,0
60,2410,3838,15646,1762,-190,228,-236,482,574,-2139,9940,0
61,2369,3669,15698,1709,-167,229,-231,598,593,-2088,10128,0
62,2329,3500,15746,1676,-160,238,-227,483,608,-2043,10018,0
63,2292,3331,15790,1667,-156,247,-209,240,632,-2005,9992,0
64,2255,3162,15828,1677,-150,270,-168,-31,661,-1961,9981,0
65,2217,2995,15864,1701,-147,289,-143,-253,700,-1913,10012,0
66,2176,2833,15896,1732,-154,298,-117,-406,735,-1855,10113,0
67,2133,2677,15926,1760,-151,304,-99,-475,759,-1787,10017,0
68,2086,2525,15954,1786,-123,343,-68,-430,786,-1716,9996,0
69,2040,2378,15979,1818,-115,382,-44,-400,799,-1656,10014,0
70,1993,2234,16001,1855,-95,424,-19,-469,802,-1602,10082,0
71,1944,2098,16022,1888,-89,536,44,-511,806,-1539,10022,0
72,1893,1970,16040,1918,-72,616,99,-457,812,-1461,10000,0
73,1841,1853,16056,1950,-84,697,174,-418,816,-1362,9981,0
74,1792,1749,16069,1989,-60,800,310,-426,811,-1240,10063,0
75,1743,1664,16078,2027,-1,832,347,-486,771,-1073,10054,0
76,1699,1600,16086,2056,22,815,400,-476,727,-861,9999,0
77,1660,1556,16091,2084,17,717,443,-334,639,-641,10024,0
78,1620,1536,16100,2061,-152,682,432,-327,539,-413,10000,0
79,1583,1533,16110,2011,-102,638,374,302,471,-201,10112,0
# GESTURE_END
