# GESTURE_START label=5 caster=lucky rep=16 nsamples=45 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1480,10269,-12680,-23,-283,-627,380,-364,-821,-549,10000,0
1,1440,10310,-12651,-97,-269,-634,339,-331,-863,-656,10000,0
2,1393,10359,-12616,-167,-269,-630,248,-228,-890,-764,10002,0
3,1336,10416,-12574,-229,-267,-602,201,-84,-913,-871,9998,0
4,1270,10478,-12528,-282,-271,-563,148,68,-920,-961,10000,0
5,1197,10546,-12477,-326,-285,-479,47,201,-915,-1026,10000,0
6,1119,10616,-12423,-363,-262,-446,10,296,-893,-1067,10000,0
7,1041,10688,-12368,-396,-227,-427,-17,337,-865,-1089,10000,0
8,963,10760,-12310,-426,-204,-423,-38,365,-846,-1108,10000,0
9,882,10834,-12251,-453,-158,-434,-71,415,-852,-1134,10000,0
10,793,10909,-12189,-475,-129,-432,-97,518,-871,-1170,10002,0
11,692,10987,-12124,-488,-84,-416,-142,684,-914,-1205,10001,0
12,575,11066,-12058,-492,-3,-334,-269,891,-966,-1229,10005,0
13,443,11145,-11992,-484,16,-266,-341,1099,-1004,-1228,9992,0
14,305,11220,-11926,-472,26,-204,-412,1192,-1031,-1196,10000,0
15,171,11291,-11862,-467,41,-167,-479,1096,-1042,-1151,10000,0
16,53,11358,-11798,-475,55,-166,-631,858,-1034,-1106,10000,0
17,45,-11422,11735,501,56,-187,-700,551,-995,-1078,10000,0
18,126,-11486,11671,537,40,-200,-764,327,-932,-1067,10007,0
19,194,-11548,11606,572,35,-208,-824,231,-832,-1060,10009,0
20,257,-11610,11543,597,3,-234,-895,274,-703,-1045,9997,0
21,322,-11669,11480,603,-20,-244,-902,451,-564,-1023,10000,0
22,394,-11727,11420,585,-42,-254,-891,703,-420,-1000,10007,0
23,473,-11784,11361,543,-92,-310,-834,948,-283,-987,9995,0
24,555,-11840,11301,483,-110,-320,-790,1127,-157,-998,10000,0
25,634,-11898,11238,411,-126,-338,-741,1186,-36,-1042,9999,0
26,705,-11960,11170,334,-141,-352,-693,1154,69,-1121,10001,0
27,765,-12029,11095,256,-167,-347,-583,1069,162,-1229,10002,0
28,812,-12104,11011,179,-185,-315,-524,949,257,-1347,10000,0
29,846,-12185,10920,103,-208,-270,-460,824,342,-1461,10005,0
30,867,-12271,10822,29,-236,-176,-301,692,424,-1551,9993,0
31,876,-12360,10719,-43,-246,-131,-220,563,490,-1615,9999,0
32,875,-12451,10613,-112,-265,-81,-137,467,536,-1655,10037,0
33,870,-12541,10505,-178,-293,-41,-61,400,555,-1662,10057,0
34,862,-12630,10398,-242,-331,-1,81,369,544,-1644,10045,0
35,857,-12716,10292,-304,-352,0,137,372,514,-1612,10054,0
36,856,-12798,10187,-364,-377,-8,184,398,463,-1576,10045,0
37,862,-12878,10083,-423,-397,-23,223,449,400,-1548,9968,0
38,871,-12956,9979,-476,-404,-88,275,457,333,-1530,10047,0
39,885,-13034,9873,-526,-434,-106,287,459,263,-1543,10014,0
40,906,-13113,9764,-574,-445,-117,324,519,196,-1574,9999,0
41,927,-13194,9650,-614,-459,-176,344,465,127,-1637,10057,0
42,944,-13280,9527,-646,-458,-201,345,465,127,-1637,10052,0
43,960,-13372,9395,-671,-464,-202,344,371,61,-1737,9988,0
44,977,-13469,9252,-692,-481,-185,349,320,-4,-1864,10005,0
# GESTURE_END
