# GESTURE_START label=5 caster=lucky rep=19 nsamples=45 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1447,10551,-12408,1033,-407,-427,431,-186,-249,-15,9994,0
1,1446,10556,-12406,998,-401,-444,433,-288,-266,-90,10005,0
2,1448,10566,-12401,958,-386,-455,443,-354,-282,-170,9995,0
3,1451,10581,-12391,913,-374,-478,476,-387,-307,-246,10000,0
4,1451,10600,-12378,866,-378,-484,489,-382,-351,-318,10000,0
5,1446,10625,-12361,816,-380,-488,495,-361,-415,-388,10002,0
6,1433,10654,-12340,764,-379,-492,494,-323,-495,-456,10003,0
7,1413,10689,-12316,709,-375,-508,465,-274,-585,-527,9995,0
8,1383,10729,-12288,653,-381,-509,445,-202,-676,-605,10000,0
9,1343,10775,-12255,596,-375,-508,413,-134,-764,-684,10000,0
10,1295,10826,-12218,537,-330,-526,333,-82,-849,-759,10000,0
11,1239,10882,-12176,477,-307,-518,295,-26,-922,-841,10002,0
12,1177,10944,-12129,417,-283,-501,252,33,-976,-917,9998,0
13,1108,11009,-12078,359,-256,-491,220,104,-1024,-977,10000,0
14,1029,11077,-12025,306,-224,-447,158,222,-1051,-1016,10000,0
15,945,11145,-11969,257,-211,-439,128,308,-1073,-1028,10014,0
16,858,11213,-11914,209,-212,-446,96,336,-1090,-1028,9991,0
17,772,11279,-11857,159,-217,-490,52,299,-1089,-1028,10005,0
18,695,11346,-11798,100,-204,-524,35,167,-1088,-1050,10003,0
19,629,11416,-11735,30,-188,-554,18,-10,-1084,-1108,10003,0
20,572,11489,-11667,-49,-162,-574,2,-167,-1081,-1194,10001,0
21,523,11567,-11591,-136,-140,-572,-48,-287,-1080,-1299,10003,0
22,476,11651,-11507,-228,-134,-562,-84,-349,-1083,-1409,9994,0
23,428,11741,-11415,-318,-135,-550,-119,-316,-1090,-1515,10001,0
24,371,11835,-11317,-400,-123,-514,-194,-190,-1088,-1612,10000,0
25,304,11934,-11212,-473,-112,-491,-231,-25,-1091,-1704,10000,0
26,226,12037,-11100,-537,-97,-455,-278,138,-1093,-1801,10000,0
27,141,12144,-10981,-595,-80,-409,-332,246,-1099,-1893,10002,0
28,52,12255,-10854,-649,-42,-307,-467,293,-1092,-1983,10005,0
29,39,-12369,10722,699,-25,-236,-533,345,-1074,-2063,10004,0
30,131,-12484,10583,745,-21,-156,-598,390,-1038,-2121,10053,0
31,220,-12599,10442,787,-18,-91,-654,390,-992,-2150,10052,0
32,302,-12713,10297,828,-35,25,-759,324,-933,-2163,10054,0
33,372,-12825,10151,872,-42,72,-812,197,-856,-2156,10054,0
34,424,-12935,10005,917,-47,99,-862,23,-759,-2136,9968,0
35,459,-13043,9858,965,-77,132,-940,-141,-649,-2110,10040,0
36,479,-13148,9711,1007,-74,134,-969,-243,-508,-2081,10033,0
37,491,-13251,9566,1039,-99,141,-980,-244,-355,-2046,10029,0
38,503,-13351,9424,1053,-125,145,-977,-117,-188,-2007,9971,0
39,521,-13448,9285,1045,-125,118,-904,-117,-188,-2007,10130,0
40,546,-13544,9147,1016,-120,127,-852,75,-23,-1975,9967,0
41,575,-13638,9009,969,-131,151,-781,294,134,-1964,10000,0
42,604,-13731,8871,908,-159,205,-641,445,278,-1967,10007,0
43,628,-13823,8734,835,-174,231,-560,534,414,-1963,10192,0
44,645,-13911,8599,756,-197,273,-484,564,545,-1946,10009,0
# GESTURE_END
