# GESTURE_START label=5 caster=lucky rep=7 nsamples=64 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1733,3942,15790,-753,-21,-63,-130,980,-79,207,10000,0
1,1736,3960,15784,-772,-5,-24,-128,229,-86,186,9999,0
2,1755,3970,15782,-733,12,26,-122,-474,-103,180,10001,0
3,1788,3976,15780,-647,30,172,-147,-1043,-119,198,10000,0
4,1830,3982,15778,-524,25,243,-169,-1483,-128,243,9999,0
5,1876,3993,15774,-384,17,295,-182,-1670,-114,330,10001,0
6,1915,4015,15767,-251,11,317,-179,-1557,-64,450,10000,0
7,1939,4051,15756,-154,0,365,-141,-1089,-5,574,9999,0
8,1946,4105,15741,-97,-8,380,-117,-585,68,711,10001,0
9,1947,4171,15724,-50,-23,399,-88,-431,102,849,10004,0
10,1951,4247,15703,8,-37,462,-35,-553,98,989,9995,0
11,1962,4335,15678,85,-57,436,-19,-756,79,1154,10001,0
12,1972,4436,15647,162,-56,369,-12,-748,74,1322,10008,0
13,1979,4550,15613,233,-46,296,-18,-649,78,1456,9991,0
14,1988,4670,15575,306,-59,161,-17,-674,71,1545,10001,0
15,1997,4794,15534,384,-73,116,-24,-720,65,1608,9999,0
16,2013,4919,15491,476,-75,116,-42,-904,44,1641,10001,0
17,2044,5042,15443,603,-88,132,-61,-1333,9,1677,9999,0
18,2084,5165,15389,759,-120,130,-103,-1686,-15,1744,10014,0
19,2129,5291,15331,930,-120,102,-137,-1871,-21,1809,10000,0
20,2174,5420,15268,1105,-125,58,-158,-1905,-13,1863,9999,0
21,2208,5554,15203,1260,-131,-20,-158,-1648,22,1900,10056,0
22,2225,5693,15138,1383,-126,-51,-145,-1222,70,1916,9946,0
23,2229,5834,15075,1479,-131,-80,-122,-881,108,1915,10005,0
24,2220,5978,15012,1549,-140,-100,-93,-540,141,1908,10003,0
25,2200,6124,14952,1597,-129,-124,-67,-268,157,1894,10058,0
26,2176,6268,14891,1638,-140,-152,-51,-171,176,1876,10045,0
27,2152,6410,14829,1681,-146,-187,-40,-194,182,1859,10052,0
28,2132,6547,14766,1731,-114,-224,-20,-299,176,1819,10049,0
29,2117,6679,14702,1790,-103,-248,-1,-429,167,1772,9967,0
30,2108,6804,14638,1854,-109,-254,3,-514,147,1708,10045,0
31,2103,6921,14574,1922,-100,-238,20,-588,119,1627,10052,0
32,2099,7036,14512,1980,-109,-177,63,-491,85,1575,10005,0
33,2084,7152,14453,2013,-112,-170,77,-171,66,1547,10010,0
34,2057,7270,14398,2015,-116,-158,94,-171,66,1547,10090,0
35,2016,7392,14345,1987,-128,-171,107,203,42,1528,9998,0
36,1968,7515,14294,1942,-121,-169,95,599,22,1524,10011,0
37,1928,7635,14241,1903,-121,-167,88,814,0,1515,9987,0
38,1903,7751,14184,1885,-112,-167,82,691,-37,1498,10041,0
39,1888,7864,14124,1878,-101,-175,64,404,-83,1482,10157,0
40,1879,7974,14064,1875,-103,-184,51,218,-121,1462,10012,0
41,1874,8083,14003,1875,-111,-200,40,143,-148,1441,10000,0
42,1867,8190,13942,1869,-112,-232,26,93,-177,1427,9917,0
43,1851,8298,13883,1847,-107,-319,-10,159,-188,1412,10118,0
44,1826,8403,13827,1815,-100,-363,-18,373,-183,1388,10001,0
45,1801,8505,13772,1783,-98,-415,-22,524,-160,1355,10008,0
46,1775,8601,13720,1752,-84,-512,-9,521,-142,1305,10007,0
47,1749,8689,13671,1722,-81,-546,-2,514,-125,1240,10049,0
48,1729,8768,13626,1700,-77,-581,7,495,-99,1142,10058,0
49,1718,8837,13585,1690,-81,-620,17,383,-89,1036,9983,0
50,1718,8893,13547,1695,-82,-707,25,193,-84,918,10002,0
51,1732,8938,13514,1714,-75,-741,26,-22,-92,786,10034,0
52,1758,8967,13487,1745,-60,-770,27,-251,-104,636,10110,0
53,1795,8982,13467,1788,-52,-760,39,-460,-117,462,9985,0
54,1846,8979,13454,1844,-58,-734,50,-646,-127,269,9984,0
55,1903,8963,13448,1904,-64,-710,79,-873,-143,68,10117,0
56,1958,8935,13452,1954,-64,-677,106,-960,-151,-117,10011,0
57,2017,8895,13462,2003,-91,-582,148,-857,-157,-293,9978,0
58,2084,8845,13478,2053,-102,-537,154,-876,-185,-458,10011,0
59,2161,8784,13497,2107,-105,-482,138,-952,-226,-604,10116,0
60,2258,8712,13516,2180,-112,-378,78,-1045,-272,-728,9999,0
61,2383,8627,13532,2283,-125,-348,48,-1378,-343,-842,10050,0
62,2519,8535,13545,2402,-125,-329,11,-1869,-398,-928,9948,0
63,2647,8441,13560,2513,-119,-335,-35,-2092,-408,-980,10048,0
# GESTURE_END
