# GESTURE_START label=5 caster=lucky rep=7 nsamples=45 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1177,-13643,8959,815,-168,-155,121,109,-1475,-1288,10037,0
1,1313,-13691,8860,880,-219,-110,169,801,-1536,-1279,10034,0
2,1487,-13731,8764,928,-209,-45,184,1286,-1617,-1240,9966,0
3,1678,-13765,8671,974,-203,-3,153,1286,-1617,-1240,10129,0
4,1861,-13796,8577,1031,-199,54,99,1467,-1695,-1191,9968,0
5,2004,-13829,8481,1114,-196,65,47,1324,-1763,-1158,10000,0
6,2105,-13867,8380,1221,-208,-6,-17,786,-1776,-1135,10000,0
7,2192,-13905,8277,1334,-201,-24,-15,213,-1762,-1130,10199,0
8,2294,-13939,8173,1438,-219,-28,20,27,-1746,-1143,10005,0
9,2426,-13966,8072,1526,-238,-57,126,241,-1739,-1152,10013,0
10,2593,-13985,7974,1599,-227,-67,178,647,-1759,-1145,9992,0
11,2783,-13996,7876,1664,-229,-14,175,1091,-1817,-1132,9974,0
12,2965,-14006,7775,1739,-178,97,92,1382,-1880,-1118,10057,0
13,3094,-14024,7668,1844,-191,248,-82,1235,-1942,-1115,9999,0
14,3151,-14054,7555,1981,-214,239,-112,539,-1944,-1096,10028,0
15,3143,-14094,7437,2144,-220,244,-159,-398,-1877,-1057,10000,0
16,3101,-14139,7316,2318,-256,144,-151,-1204,-1778,-1014,10087,0
17,3064,-14179,7197,2489,-244,3,-65,-1608,-1710,-984,10000,0
18,3072,-14207,7083,2643,-264,14,-116,-1530,-1710,-964,10004,0
19,3130,-14222,6975,2780,-230,45,-228,-966,-1777,-966,10053,0
20,3226,-14225,6874,2901,-246,179,-513,-330,-1870,-963,10108,0
21,3339,-14223,6779,3008,-259,279,-667,155,-1900,-950,9995,0
22,3442,-14220,6688,3107,-289,369,-780,425,-1848,-927,10001,0
23,3513,-14223,6601,3200,-332,427,-839,374,-1696,-883,9999,0
24,3549,-14232,6517,3288,-336,437,-865,76,-1476,-822,10117,0
25,3565,-14244,6441,3368,-330,443,-876,-259,-1246,-743,9981,0
26,3578,-14255,6375,3434,-348,454,-899,-417,-1037,-659,9996,0
27,3606,-14259,6324,3480,-385,471,-969,-347,-863,-577,10003,0
28,3654,-14257,6291,3501,-366,480,-983,-63,-697,-481,10122,0
29,3720,-14248,6274,3497,-354,507,-971,317,-519,-388,10024,0
30,3790,-14237,6269,3473,-352,539,-934,655,-323,-303,9971,0
31,3853,-14229,6273,3432,-368,605,-729,835,-104,-237,10017,0
32,3894,-14226,6282,3383,-368,650,-599,839,118,-184,10114,0
33,3905,-14230,6291,3333,-380,679,-476,662,327,-138,9988,0
34,3886,-14240,6303,3289,-381,719,-284,341,486,-83,10002,0
35,3842,-14254,6317,3254,-394,717,-220,-4,583,-10,9987,0
36,3786,-14266,6337,3228,-422,709,-183,-289,618,88,10116,0
37,3735,-14272,6366,3206,-477,717,-194,-432,601,203,10042,0
38,3699,-14267,6408,3186,-423,654,-259,-358,538,329,9981,0
39,3686,-14250,6465,3161,-443,683,-338,-174,465,472,10001,0
40,3698,-14221,6539,3127,-439,680,-405,154,420,616,10105,0
41,3719,-14183,6629,3085,-417,662,-469,518,415,761,9992,0
42,3745,-14138,6733,3033,-390,603,-497,706,471,914,10008,0
43,3759,-14091,6848,2975,-407,543,-456,847,575,1061,9999,0
44,3759,-14044,6971,2913,-418,517,-396,775,711,1191,10108,0
# GESTURE_END
