# GESTURE_START label=5 caster=lucky rep=5 nsamples=76 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,402,8864,-13707,1350,-68,-508,-317,-62,79,1325,9968,0
1,402,8773,-13765,1361,-46,-498,-334,24,143,1241,10050,0
2,402,8688,-13816,1385,-31,-464,-326,160,216,1150,10009,0
3,405,8607,-13863,1418,-25,-461,-305,239,300,1077,10004,0
4,412,8530,-13906,1459,-26,-459,-270,239,300,1077,10096,0
5,423,8456,-13946,1505,-39,-461,-224,291,379,1019,10000,0
6,441,8384,-13984,1549,-67,-459,-163,319,451,971,10000,0
7,467,8315,-14020,1584,-94,-469,-154,265,502,929,10034,0
8,504,8248,-14056,1604,-106,-509,-159,133,531,881,10011,0
9,548,8185,-14091,1610,-73,-602,-209,-80,540,836,10180,0
10,592,8127,-14122,1615,-94,-632,-237,-261,534,780,9972,0
11,630,8077,-14147,1630,-104,-637,-262,-267,519,706,10009,0
12,659,8038,-14164,1665,-101,-632,-262,-110,511,600,10001,0
13,679,8010,-14172,1722,-79,-546,-249,149,522,471,10031,0
14,700,8002,-14167,1794,-79,-498,-237,429,547,329,9997,0
15,730,8001,-14156,1864,-92,-448,-216,603,637,55,10004,0
16,768,8007,-14143,1929,-95,-340,-168,543,696,-52,10000,0
17,815,8017,-14126,1991,-111,-267,-144,459,752,-149,10127,0
18,867,8029,-14107,2050,-113,-200,-117,384,810,-221,10029,0
19,923,8041,-14088,2108,-101,-138,-94,319,848,-266,9967,0
20,978,8053,-14068,2173,-107,-12,-76,300,878,-279,10004,0
21,1036,8061,-14049,2234,-111,8,-87,364,906,-268,10115,0
22,1096,8066,-14032,2296,-118,24,-62,307,928,-237,10009,0
23,1158,8067,-14016,2357,-109,58,-21,303,950,-194,9995,0
24,1223,8063,-14003,2414,-120,60,7,286,971,-149,10004,0
25,1291,8055,-13993,2464,-129,48,39,206,980,-100,10120,0
26,1360,8043,-13986,2508,-133,37,68,115,981,-50,10001,0
27,1431,8027,-13982,2542,-162,8,95,52,960,-3,9998,0
28,1505,8007,-13982,2562,-152,-44,95,-79,924,47,9996,0
29,1580,7985,-13984,2575,-142,-101,92,-242,885,82,10121,0
30,1646,7965,-13985,2591,-130,-146,86,-318,843,102,9998,0
31,1699,7947,-13983,2620,-163,-210,83,-241,785,104,10051,0
32,1734,7933,-13977,2670,-172,-230,91,-32,720,101,9939,0
33,1748,7925,-13966,2742,-161,-241,104,290,650,94,10131,0
34,1746,7921,-13951,2830,-164,-298,103,642,574,81,9995,0
35,1730,7921,-13932,2929,-167,-338,101,909,496,71,10035,0
36,1704,7927,-13909,3037,-180,-350,89,1100,421,44,9970,0
37,1677,7938,-13883,3141,-203,-354,76,1254,361,-8,10030,0
38,1657,7953,-13856,3232,-217,-423,46,1252,323,-72,10082,0
39,1651,7972,-13829,3302,-218,-462,30,1070,311,-146,10000,0
40,1657,7997,-13801,3357,-231,-500,26,805,325,-242,10029,0
41,1672,8027,-13770,3404,-270,-553,33,594,346,-347,10000,0
42,1691,8066,-13734,3448,-308,-574,49,485,368,-455,10098,0
43,1713,8112,-13692,3495,-338,-590,77,454,391,-570,10008,0
44,1733,8168,-13644,3544,-363,-609,111,486,408,-686,9991,0
45,1753,8235,-13587,3597,-397,-612,190,547,404,-808,10045,0
46,1773,8315,-13523,3646,-409,-598,213,615,392,-957,10110,0
47,1795,8407,-13451,3688,-430,-582,231,622,354,-1124,9964,0
48,1819,8511,-13373,3722,-454,-562,243,572,309,-1301,10022,0
49,1845,8627,-13287,3750,-488,-489,274,510,261,-1478,10020,0
50,1869,8753,-13194,3773,-504,-445,294,480,211,-1640,10092,0
51,1890,8888,-13094,3796,-524,-398,313,482,161,-1786,9996,0
52,1905,9029,-12989,3818,-537,-303,342,530,103,-1895,10004,0
53,1915,9175,-12879,3839,-531,-274,353,578,42,-1975,10000,0
54,1915,9175,-12879,3839,-527,-246,367,616,-20,-2032,10115,0
55,1920,9324,-12765,3858,-524,-213,380,653,-85,-2078,10000,0
56,1921,9476,-12647,3871,-526,-159,387,640,-155,-2133,10000,0
57,1922,9633,-12527,3876,-529,-112,382,570,-224,-2197,10001,0
58,1924,9794,-12403,3871,-541,-55,372,503,-289,-2282,10117,0
59,1926,9960,-12274,3857,-579,82,332,448,-357,-2361,10009,0
60,1922,10130,-12140,3841,-608,162,316,475,-427,-2428,9970,0
61,1904,10304,-11999,3831,-633,258,301,667,-506,-2466,10002,0
62,1862,10481,-11849,3836,-641,354,273,987,-599,-2467,10127,0
63,1795,10658,-11695,3854,-611,490,190,1293,-701,-2424,10001,0
64,1710,10832,-11539,3877,-579,541,137,1480,-801,-2348,10015,0
65,1616,11001,-11385,3898,-541,577,94,1514,-885,-2262,9991,0
66,1523,11161,-11237,3909,-490,589,65,1393,-935,-2164,10125,0
67,1439,11311,-11098,3906,-446,611,25,1184,-955,-2058,9963,0
68,1362,11452,-10968,3892,-457,602,26,1006,-970,-1947,10011,0
69,1289,11583,-10846,3869,-476,618,14,867,-989,-1822,9982,0
70,1218,11706,-10733,3838,-464,637,3,767,-1027,-1701,10137,0
71,1144,11821,-10626,3804,-460,641,-5,748,-1059,-1580,10011,0
72,1071,11928,-10528,3764,-469,622,-7,647,-1093,-1460,9989,0
73,1004,12028,-10439,3713,-480,596,-6,503,-1128,-1341,9992,0
74,937,12120,-10358,3657,-449,507,22,434,-1149,-1234,10131,0
75,867,12206,-10282,3601,-389,454,50,436,-1164,-1136,9985,0
# GESTURE_END
